()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><BGM>m_avg_casual</BGM><SE1>AVG_doorknock_wood</SE1>:Knock knock. A light rap on the door jolts M200 awake. +She hurriedly halts the process of clearing her cache and jogs over to open the door.
M200(0)<Speaker>M200</Speaker>||:Please come in... Huh?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Hi.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Hello, QBU-88. Is something the matter? +Have I missed a notice...?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Not at all. May I come in?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||<黑点1>:Oh yes, please.
()<Speaker></Speaker>||<黑点2>:M200 welcomes QBU-88 into her room and closes the door.
M200(0)<Speaker>M200</Speaker>||:Would you like something to drink?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Oh, I get offered a drink! What do you have?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:I've got black tea, juice, coffee, milk, fruit tea, ginger tea, hot cocoa, and green tea. Oh, there's also mulled wine, though I'll have to heat that up...
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Whoa, hold it. Just a fruit tea will do. +Are you planning to open a beverage store with Springfield or something?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:No, I just bought a bunch of ingredients to practice making different kinds of drinks. +Here, fruit tea for you.
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Thanks. +...This tastes good! What's the brand?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:It's my own formulation. If you like it, I can give you some to take with you.
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Thanks! I love this tangy flavor.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:So... May I ask why you're here...?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Didn't Groza just send out a recruitment for party organizers? +I saw your reply. You said you can't participate because you have an assignment.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Oh, yes.
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:We checked the logs. You accepted that assignment AFTER she made the recruitment post.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:...
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:You never say no to social gatherings, as far as I know? +I just find this pretty odd. Is there someone you don't want to meet at the party?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Oh, it's nothing of that sort! +I'm just having some personal issues...
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:What kind of issues?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Uh... I just have some thinking to do. It's not a good idea to bother others over something so trivial! +Don't worry, I can sort it out myself.
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:You probably can, but if you tell me, it could be solved more quickly. +And you don't have to feel like you're bothering me. I came precisely for this matter.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||<黑点1>:Hm... Thank you. So this is what happened...
()<Speaker></Speaker>||<黑点2>:... +Several minutes later.
QBU88(0)<Speaker>QBU-88</Speaker>||:So basically, you tried to interview some refugees, but they refused to cooperate.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Yeah... I wanted to shoot some post-war footage and edit them into a documentary for the celebration this year. +But apart from ruins, all I've got so far is grief-stricken people who have lost their home...
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Isn't that only to be expected? War is destructive to begin with.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:I disagree. We are a security company, are we not? +We fight to protect more people, to put an end to strife, and to usher in an era of peace, isn't that right?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Yeah... Sounds about right.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:But is there really any meaning to all the fighting we've done? +No matter how hard we try to defeat our enemies, innocent civilians keep getting dragged into the war and end up getting killed. +We are Tactical Dolls, we were not created to prevent war – we perpetrate violence... There's no way we can end the bloodshed. +On top of that, we keep causing suffering.
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:But just letting our enemies storm through our defenses will result in even more suffering. +There is meaning to our fight.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:You have a point... (Sighs) I do feel better now that I've got it off my chest. +Thank you. Next time there's a party, I'll definitely make time for it!
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:I'm glad to hear it. +...Hold on, so you're still not coming to this party?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Huh? It's a shame, but...
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:The solution is right in front of you. It's just taking out a few enemy targets. It won't take long if the two of us set off soon! +Those abandoned mechs have been getting on my nerves for a while now. Rather than letting them saunter around for a couple more days, why don't we wipe them out now and come back for the party?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Oh... Sure. +<color=#A9A9A9>Can I really handle another fight so soon?</color>
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Where's the location of your assignment? Let me see... +Oh! Theater No. 3 is pretty close. Let's go!
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Huh? We're going right now?!
QBU88(0)<Speaker>QBU-88</Speaker>||:No time like the present!
()<Speaker></Speaker>||<黑屏1><SE1>RunStep</SE1>:With just the two of them, the Dolls head towards the target location promptly...
()<Speaker></Speaker>||<黑屏2><BIN>98</BIN><BGM>BGM_Empty</BGM>:An hour later, in Theater No. 3.
QBU88(0)<Speaker>QBU-88</Speaker>||<BGM>BGM_Room</BGM>:These abandoned mechs were a piece of cake. Your assignment is all done, yeah?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Yes.
M200(0)<Speaker></Speaker>;QBU88(0)||:M200 puts down her rifle and studies the mechanical remains all around her.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Thank goodness these weren't piloted by that man...
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:What do you mean? They're still weapons created for human use. +Strange... Why can't I find that spot?
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:88? What are you looking for?
QBU88(0)<Speaker>QBU-88</Speaker>||:It's a secret.
()<Speaker></Speaker>||:With that, she wanders off and continues her search.
QBU88(0)<Speaker>QBU-88</Speaker>||<BGM>BGM_Empty</BGM>:Hm... Mm... Found it! +M200, over here.
M200(0)<Speaker></Speaker>;QBU88(0)||<BGM>GF_Memorial</BGM>:M200 walks over and squats down to look at what QBU-88 is pointing at. +Behind the crumbling wall, a patch of lovely roses bloom silently.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:...Huh? How can there be flowers here?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:If memory serves, Theater No. 3 used to be a botanical conservatory in the Yellow Zone. +It was razed to the ground in the war, but this little patch came out unscathed. +There weren't any flowers the first time I came. The botanists must've been forced to evacuate shortly after they planted the seeds. +But look, they're now flourishing!
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:They managed to keep growing because we've been holding this place?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:That's right. As long as we don't pull back our line of defense, more flowers will grow here.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:...
M200(0)<Speaker></Speaker>;QBU88(0)||:M200 stares intently at the roses. +Under the clouded sunlight, they look so fragile, yet so vibrant in the ashy soil.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:New life that grows out of land baptized by the flames of war... +I must take some pictures of it!
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Take as many as you want. It's pretty safe here. You can go absolutely crazy.
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Are there more flowerbeds like this one in other places?
M200(0);QBU88(0)<Speaker>QBU-88</Speaker>||:Probably...? There might be more somewhere farther away from the war zone. I'm sure we'll find them if we take the time to look. +Let's do that, shall we?
M200(0)<Speaker>M200</Speaker>||:Yes, please!
()<Speaker></Speaker>||:M200 snaps picture after picture while QBU-88 keeps searching for more flowers. The two Dolls end up trekking across most of the theater.
QBU88(0)<Speaker>QBU-88</Speaker>||<BGM>BGM_Empty</BGM>:Oh, there are flowers over here, M2— Huh?
M200(0)<Speaker>M200</Speaker>||:What? Did you say some... QBU-88!!
()<Speaker></Speaker>||<BGM>BGM_Danger</BGM>:A half-buried mech suddenly comes to life. +Its remaining mechanisms are still operational - it grabs QBU-88 and lifts her off the ground!
QBU88(0)<Speaker>QBU-88</Speaker>||:H...Help!!
M200(0)<Speaker>M200</Speaker>;QBU88(0)||:Crap...
