()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...
()<Speaker></Speaker>||<黑屏2><BIN>98</BIN><BGM>BGM_Battle</BGM><SE1>AVG_rifle_finalshot_n</SE1>:The gunshots that have been resounding over the empty field finally stop. Once the echo fades away, the battlefield is once again silent. +M16A1 puts down her weapon and looks toward Groza. +Groza gestures at M16A1 that all is clear.
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<SE1>AVG_amb_wilderness</SE1>:This has dragged on for longer than I thought.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:Who would've thought this would take days? I didn't expect we'd have to run so far after these mechs.
M16A1BOSS(0)<Speaker></Speaker>;OTs14(0)||:M16 follows Groza's gaze and looks back in the direction of the base.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:Good thing we had informed the Commander before we set off, but by now...the party has probably started without us.
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:Were you looking forward to the party?
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:Sure. Everyone having fun eating, chatting, and enjoying the peace and quiet... +Doesn't that beat firing a gun?
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||<SE1>AVG_tele_connect</SE1>:You're right. I hope they have booze at the party... Come. If we hurry, we might still make it before they wrap things up. +M16A1 hailing HQ. Mission accomplished. There is quite some distance between us and the base. Requesting a chopper for pickup at Heliport 9 in Theater No. 3.
M16A1BOSS(0);NPC-Kalin(0)<Speaker>Kalina</Speaker><通讯框>||:<color=#00CCFF>Copy that. We'll be there in no time~</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>;NPC-Kalin(0)||:Thanks.
M16A1BOSS(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:Kalina's jovial tone has helped M16A1 relax a little. +Other than herself and Groza, nothing else moves on the battlefield. She closes her eyes and slowly tries to unwind from the tension of the previous battle.
OTs14(0)<Speaker>OTs-14</Speaker>||:The chopper is here. Let's go.
()<Speaker></Speaker>||:The two Dolls embark on the journey home amidst the sound of the helicopter's rotary blades.
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<黑屏1>:<color=#A9A9A9>The banquet is most probably already in full swing. RO is hopefully keeping a tight leash on SOP-II so that she stays out of trouble. AR-15 would be enjoying herself.</color> +<color=#A9A9A9>What about M4? What could she be doing?</color> +<color=#A9A9A9>Is she also having a good time? Or...</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<BIN>83</BIN><黑屏2><BGM>BGM_Empty</BGM>:...Oh crap.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||<SE1>AVG_footsteps_cave</SE1>:Hm? What's wrong?
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:I...promised M4 I'd attend the banquet with her. She even said she had a surprise for me.
M16A1BOSS(0);OTs14(0)<Speaker></Speaker>||:Groza checks the time and falls silent.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:Uh, sorry.
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:We're colleagues. I don't blame you.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:But breaking a promise with your family is a grave offense.
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:So...
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||<BGM>m_avg_casual</BGM>:I will bring flowers to your grave tomorrow.
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:Be serious, don't you have any proper advice for me? +I don't want to show up at the banquet in my battle gear, but nothing else would save me from M4's attacks.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:Like I said, I will bring flowers to your grave tomorrow.
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:Then I'll crawl out of hell and grab you by the ankle.
M16A1BOSS(0);OTs14(0)<Speaker>OTs-14</Speaker>||:Right, enough jokes. +Since you'll inevitably be late, why don't you get her a gift to apologize?
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:That could work... I'll see what I can do.
M16A1BOSS(0)<Speaker></Speaker>;OTs14(0)||:M16A1 lets out a long sigh. +Groza chuckles and pats her on the shoulder.
