()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:...In a hallway inside Griffin's base.
()<Speaker></Speaker>||<黑屏2><BIN>97</BIN><BGM>BGM_Hello</BGM>:Several days have passed since the general meeting, and preparations for the banquet are in full swing.
Saiga12(0)<Speaker>Saiga-12</Speaker>||:(Sighs) It's such a waste of all the pretty girls' beauty if it's just a simple gathering.
Saiga12(0)<Speaker></Speaker>||:A familiar figure suddenly appears.
Saiga12(0)<Speaker>Saiga-12</Speaker>||:Commander, it's been a while!
Saiga12(0)<Speaker>Commander</Speaker>||:Good morning! The base seems pretty empty today. What is everybody up to?
Saiga12(0)<Speaker>Saiga-12</Speaker>||:Oh, you haven't heard, have you? We're planning to organize a huge party!
Saiga12(0)<Speaker>Commander</Speaker>||:Huh? +I have been negligent... Then as always, I'll buy some drinks and snacks for everyone.
Saiga12(0)<Speaker>Saiga-12</Speaker>||:... +Oh? But this is no ordinary party.
Saiga12(0)<Speaker>Commander</Speaker>||:No ordinary party?
Saiga12(0)<Speaker>Saiga-12</Speaker>||:It's a rare opportunity for us to relax. Do you expect us to eat with guns in our hands?
Saiga12(0)<Speaker>Commander</Speaker>||:Well...you're T-Dolls, after all...
Saiga12(0)<Speaker>Saiga-12</Speaker>||:The issue is with our clothes! +Think about it, Commander. A cook wears a cook's uniform when working in the kitchen, but he changes into something casual when he gets off work. +Clothes are a symbol of one's identity.
Saiga12(0)<Speaker>Commander</Speaker>||:...You have a point. So if our Dolls have to attend the party wearing something different, they can all leave their work behind. +Since it's a party, everyone should relax and enjoy themselves.
Saiga12(0)<Speaker>Saiga-12</Speaker>||:Exactly. We should make the dress code something special – something we don't usually wear. +Come to think of it, most of us don't even own that many dresses since it's not practical for work.
Saiga12(0)<Speaker>Commander</Speaker>||:Then let's make it a formal dress event, and everyone has to wear an evening dress. I'll go and order some fabric... I'll leave the details to M200 and QBU-88.
Saiga12(0)<Speaker>Saiga-12</Speaker>||:Yay, you are the best, Commander! +But are we still only having a simple feast when everyone's gonna be all dressed up?
Saiga12(0)<Speaker>Commander</Speaker>||:Since it's formal dress, there's got to be dancing. I'll tell Groza to make the appropriate arrangements.
Saiga12(0)<Speaker>Saiga-12</Speaker>||:You really are the best Commander in the entire world!
Saiga12(0)<Speaker></Speaker>||:The Commander hurries off, probably to sort out the evening dresses.
Saiga12(0)<Speaker>Saiga-12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:Hehehehehe, the Commander fell hook, line, and sinker for it! +Now I get to feast my eyes on pretty girls in pretty dresses! Hm, I'm gonna suggest a bikini party next time!
()<Speaker></Speaker>||<黑屏2><BIN>73</BIN><BGM>m_avg_casual</BGM>:In the rehearsal room. +Since news spread about the ball, more Dolls have been frequenting the rehearsal room.
ZasM76(0)<Speaker>Zas M76</Speaker>||:Having a ball is a fantastic idea. I'm not going to lose to SVD this time!
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:Why are you getting competitive over that? How often do you find yourself wearing an evening dress? You should have some pictures taken to commemorate this occasion instead.
ZasM76(0)<Speaker>Zas M76</Speaker>;Saiga12(0)||:There's no competition in having your picture taken, I really can't be bothered. +A true T-Doll has to come first, even in dancing!
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:I don't know what to say to that... I'm getting stressed out just being here with you. +I think I'm gonna head back to my dorm and look at my photo magazines.
ZasM76(0)<Speaker>Zas M76</Speaker>;Saiga12(0)||:Who are you going to give your magazine this time? +Practically everyone at the base has one already.
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:That's not true... KSVK didn't take it. Argh, I might have offended her.
ZasM76(0)<Speaker>Zas M76</Speaker>;Saiga12(0)||:What on earth did you do?
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:...Just the usual – chatting her up, getting a date, and giving her a magazine.
ZasM76(0)<Speaker>Zas M76</Speaker>;Saiga12(0)||:We always adjust the intensity of our training depending on our condition, so why do you keep using the same old trick when trying to make friends?
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:... +I feel pretty defeated, not gonna lie.
ZasM76(0)<Speaker>Zas M76</Speaker>;Saiga12(0)||:Some word of advice – you'll never build any genuine connections if you use the same routine on everyone.
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:Nonsense! I'm genuine to everybody!
ZasM76(0)<Speaker>Zas M76</Speaker>;Saiga12(0)||:Then why do you give everyone the same gift?
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:Because nobody could possibly say no to photo magazines! +Especially photo magazines of pretty girls!
ZasM76(0)<Speaker>Zas M76</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:...Forget it. You'll understand one day.
()<Speaker></Speaker>||<黑屏2><BIN>96</BIN><BGM>GF_20HW_Scene_BPM82_loop</BGM>:Night time comes, so does the ball begin. +Many familiar faces enter the venue, meticulously dressed.
ZasM76(2)<Speaker>Zas M76</Speaker>||:White suits you.
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||:Hehe, the Commander is so thoughtful. Stains have no place on this pure color. +Say, you're also super cute today! Can I dance with you?
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:...No, I need to focus entirely on the dance itself, or I'll lose. Also, having you as a partner will bring down my performance.
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||:So cold! +But heartless girls are also cute. +Everyone has put a lot of effort in their looks today, what a wonderful sight to behold!
ZasM76(2)<Speaker>Zas M76</Speaker>;Saiga12(2)||:Ogle all you want. I'm going to warm up.
ZasM76(2);Saiga12(2)<Speaker>Saiga-12</Speaker>||:Alright, I'm gonna find myself a dancing partner, just you wait and see.
Saiga12(2)<Speaker></Speaker>||:All the lights in the banquet hall are on maximum brightness and dazzling to the eye.
Saiga12(2)<Speaker>Saiga-12</Speaker>||:Humph, it's true that we all know each other, but since we're all wearing something new, can't we at least pretend we're all unfamiliar pretty girls?
Saiga12(2)<Speaker></Speaker>||:Saiga-12 circles around the banquet hall glumly, unable to find a suitable dance partner. +She's just about to order a drink from the bartender to lift her spirits when she hears a lilting voice right next to her.
Saiga12(2)<Speaker>???</Speaker><同时置暗>||:May I have a Rose in the Snow?
Saiga12(2)<Speaker>Bartender</Speaker><同时置暗>||:Of course. Any other special request?
Saiga12(2)<Speaker>???</Speaker><同时置暗>||:No, just mix it your way. +A cocktail with such a name is bound to taste delightful.
Saiga12(2)<Speaker>Saiga-12</Speaker>||:That voice? Are you new around here? +H...Hello! Huh? What a beauty! And you look kinda familiar...
KSVK(9)<Speaker>???</Speaker>||:Me?
()<Speaker></Speaker>||:The young girl points at herself, her eyes filled with confusion.
()<Speaker></Speaker>||:Saiga-12 opens her mouth to explain—
()<Speaker></Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:The lights go off.
()<Speaker>???</Speaker>||<BGM>BGM_Moon</BGM><SE1>Heartbeat</SE1>:Ah!
()<Speaker>Saiga-12</Speaker>||:Don't worry! This is part of the program. The dancing is going to start soon, so they're turning off the bright lights.
()<Speaker>???</Speaker>||:I see... Thanks.
()<Speaker>Saiga-12</Speaker>||:Don't mention it. Say, have I seen you somewhere before?
()<Speaker>???</Speaker>||:I look like KSVK, don't I? She's my elder sister, so of course we resemble each other.
()<Speaker>Saiga-12</Speaker>||:Huh?! Then...why did she leave you here all by yourself?
()<Speaker>???</Speaker>||:She's busy with work today so she gave the invitation to me. +You can just call me Dushevnaya.
()<Speaker>Saiga-12</Speaker>||<BGM>BGM_Empty</BGM>:Dushevnaya... What a pretty name.
()<Speaker></Speaker>||<BIN>139</BIN><黑屏2><BGM>GF_20HW_Scene_BPM82_loop</BGM>:A mellow song starts playing, and the hall is once again illuminated.
()<Speaker>Bartender</Speaker>||:Miss, here's your drink.
