Erma(21)<Speaker>엘마</Speaker>||:......
NPC_Stevens520(0)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>;Erma(21)||:울상 짓지 마.
NPC_Stevens520(0)<Position>0,60</Position>;Erma(21)<Speaker>엘마</Speaker>||:다음은... 네 차례잖아.
NPC_Stevens520(0)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>;Erma(21)||:그러게 누가 620더러 그렇게 한심하게 희생하랬나 몰라.
NPC_Stevens520(0)<Position>0,60</Position>;Erma(21)<Speaker>엘마</Speaker>||:가지 마...
NPC_Stevens520(0)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>;Erma(21)||:내가 가는데 좋아해야 하는 거 아니야? 앞으로 널 괴롭힐 사람 없는데.
NPC_Stevens520(0)<Position>0,60</Position>;Erma(22)<Speaker>엘마</Speaker>||:그치만 620도 해내지 못한 임무를 네가 어떻게...
NPC_Stevens520(1)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>;Erma(22)||:어쭈? 내가 620보다 훨씬 낫거든?
NPC_Stevens520(1)<Position>0,60</Position>;Erma(22)<Speaker>엘마</Speaker>||:...너, 군에서 실전 테스트한 거 성적이 620보다 3등급——
NPC_Stevens520(1)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>;Erma(22)||:그 이야긴 꺼내지도 마!
NPC_Stevens520(1)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>||<震屏>:너 도와주지만 않았어도 감점 안 받았어!
