Erma(21)<Speaker>엘마</Speaker>||:다들 임무를 수행하러 가서는, 안 돌아왔어...
NPC_Stevens520(0)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>||:......
NPC_Stevens620(0)<Speaker>스티븐스 620</Speaker><Position>-200,0</Position>||:그래.+그 "거물" 밑에서 일하기는 쉽지 않으니까.
NPC_Stevens620(0)<Position>-200,0</Position>;Erma(21)<Speaker>엘마</Speaker>||:넌 안 가면 안 돼?
NPC_Stevens620(0)<Speaker>스티븐스 620</Speaker><Position>-200,0</Position>;Erma(21)||:안 돼.
NPC_Stevens620(0)<Position>-200,0</Position>;Erma(23)<Speaker>엘마</Speaker>||:왜?
NPC_Stevens620(0)<Speaker>스티븐스 620</Speaker><Position>-200,0</Position>;Erma(23)||:인형한테 "왜" 같은 건 없어.
NPC_Stevens620(0)<Position>-200,0</Position>;Erma(21)<Speaker>엘마</Speaker>||:난 너 가는 거 싫어.
NPC_Stevens620(0)<Speaker>스티븐스 620</Speaker><Position>-200,0</Position>;Erma(21)||:...왜?
NPC_Stevens620(0)<Position>-200,0</Position>;Erma(21)<Speaker>엘마</Speaker>||:네가 가면...
Erma(22)<Speaker>엘마</Speaker>||:520이 나만 괴롭힐 거 아니야.
NPC_Stevens620(0)<Speaker>스티븐스 620</Speaker><Position>-200,0</Position>||:......
NPC_Stevens520(0)<Speaker>스티븐스 520</Speaker><Position>0,60</Position>||:그건 그렇네.
