//放映厅配置
//格式：id|filename,size
//文件名不需要填后缀名，统一为usm
//文件上传在movie目录
1|cube_h,7803904
2|arctic_h,6908544
3|deepdive_h,10252512
4|singularity_h,26325056
5|continuum_turbulence_h,21172608
6|isomer_h,22433984
7|2019summer_h,19786816
8|2019HW_h,10136512
9|2019Xmas_h,18141280
10|2020winter_h,8965728
11|2020WV_h,13403232
12|2020beach_h,16427904
13|2020summer_h,25126688
14|2021winter_Protean_h,16986496
15|2021summer_h,16883968
16|2021winter_h,16863456
17|2022winter_h,17719264
18|2022summer_h,21945888
19|2023winter_h,16838176
20|202404activity_h,12664832
21|202406Activity_h,12152832
22|202407Activity_h,10727424
