guide_deployment-10385001,出現了新的任務目標以及新的撈槍路線。
guide_deployment-10801001,本次活動部分關卡無需玩家部署梯隊，請使用npc來完成戰役。
guide_deployment-10803001,特工J：我們需要防守住現有陣地，不然計劃就會失敗！
guide_deployment-10803002,SP9:遵命，長官！
guide_deployment-10803003,我們得到了奈樂的位置資訊。(點擊標記點位可以關閉引導。)
guide_deployment-10805001,本次活動丹德萊在電子戰當中可以對雷達點進行操作，之後的作戰請善用這些雷達點。
guide_deployment-10805002,嘗試發動傳送。
guide_deployment-10805003,選擇傳送點位。
guide_deployment-10805004,丹德萊被強敵包圍了請想辦法拯救丹德萊。(此次活動中丹德萊無法接敵。)
guide_deployment-10806001,伊阿索之匣啟動了，請注意倒計時。
guide_deployment-10806002,還有兩回合就要爆炸了。
guide_deployment-10806003,這是最後一回合的機會了。
guide_deployment-10808001,炸彈可以拾取...
guide_deployment-10810001,有強力敵人堵住了目標點，需要想辦法製造點動靜。
guide_deployment-10810002,敵人被吸引開了但是入口被堵住了......
guide_deployment-10812001,敵方機甲組裝完成，敵軍士氣大增。
guide_deployment-10812002,白色框內代表可以修理的次數。
guide_deployment-10812003,當梯隊受損時點擊白色框維修部隊。
guide_deployment-10825001,本關我方可以在帶有箭頭標記處自動傳送往箭頭指向點位。(點擊標記點位可以關閉引導。)
guide_deployment-10827001,本次活動丹德萊在電子戰當中可以對雷達點進行操作，之後的作戰請善用這些雷達點。
guide_deployment-10827002,注意:傳送點上有同陣營單位將無法傳送。
guide_deployment-10829001,注意:南北方向會出現敵人進攻......
guide_deployment-10830001,注意:小心避開安全防衛系統，不然此次作戰失敗......
guide_deployment-10832001,當梯隊受損時可以利用維修點修復。
guide_deployment-10906001,點擊按鈕關閉戰場說明。
guide_deployment-10906002,請使用友方梯隊完成戰役。
guide_deployment-10906003,目標是敵方指揮部。
guide_deployment-10906004,結束回合占領指揮部。
guide_deployment-10907001,AR-15最接近敵方指揮部但是連接指揮部的是單向路徑請選擇其他方式進攻。
guide_deployment-10907002,占領機場可以在下回合提供額外1點的行動點。
guide_deployment-10908001,檢測到彈藥不足，前方有補給點請指揮官安排補給。(在補給點上點擊梯隊)
guide_deployment-10908002,點擊補給......
guide_deployment-10908003,點擊要補給的梯隊。
guide_deployment-10909001,點擊此處掃描戰場......
guide_deployment-10909002,點擊敵人查看敵人配置......
guide_deployment-10909003,點擊敵人頭像查看敵人具體描述。
guide_deployment-10909004,查看敵人特性。
guide_deployment-10909005,再次點擊此處可以返回繼續指揮作戰。
guide_deployment-10910001,前方有隨機點，隨機點走上去會觸發隨機事件。
guide_deployment-10911001,當相鄰位置有友軍的時候可以利用換位來移動，不消耗行動點。
guide_deployment-10911002,換位......
guide_deployment-10911003,繼續前進。
guide_deployment-10912001,限時機場將在下一回合開放。
guide_deployment-10912002,限時機場已經開放。
guide_deployment-10913001,夜戰中沒有視野的機場不能部署梯隊。
guide_deployment-10913002,沒有手槍的梯隊就沒有視野，並且該梯隊沒有攜帶夜戰裝備。
guide_deployment-10913003,請派遣攜帶夜視裝備的梯隊作戰。
guide_deployment-10914001,占領雷達點可以在夜戰中提供兩個視野。
guide_deployment-10915001,不能直接占領指揮部時，可以透過占與領指揮部相鄰的點來包圍占領指揮部。
guide_deployment-10916001,敵方機場可能出現增援敵人，優先占領機場為致勝關鍵。
guide_deployment-10917001,木星炮不適合強攻，可以透過包圍讓其損失大部分戰力。
guide_deployment-10918001,集結點是維持補給線關鍵點位，通過占領與指揮部相鄰的點位連上補給線
guide_deployment-10918002,占領此點位。
guide_deployment-10919001,本次作戰目標救援人質。
guide_deployment-10919002,選擇目標。
guide_deployment-10919003,救援目標。
guide_deployment-10919004,帶領目標撤離。
guide_deployment-10919005,前往撤離機場。
guide_deployment-10919006,點擊梯隊。
guide_deployment-10919007,點擊完成回收。
guide_deployment-10920001,雷達點位在非夜戰下一般有特殊用途。
guide_deployment-10920002,本次作戰可以踩雷達點讓敵人叛變避開強力敵人占領敵人指揮部。
guide_deployment-10922001,紅色X標記代表敵人是強力敵人，避開強力敵人作戰。此敵人ai圖標顯示類型表示為警戒類型，長按敵人顯示紅色圈圈是敵人警戒範圍......
guide_deployment-10922002,此敵人ai圖標類型為巡邏，可以長按查看ai紅色圈圈巡邏點位。黃色閃爍標記特效的路徑線是巡邏路線，閃爍移動方向代表巡邏方向......
guide_deployment-10923001,重型機場可以部署支援梯隊。
guide_deployment-10923002,選擇支援梯隊。
guide_deployment-10923003,部署支援梯隊。
guide_deployment-10924001,本關迷兔之洞可以通往不同的地圖場景，請前往此處。
guide_deployment-10924002,點擊此處可以選擇切換的地圖。
guide_deployment-10924003,選擇切換的場景。
guide_deployment-10924004,選擇梯隊。
guide_deployment-10924005,移動梯隊。
guide_deployment-10924006,前往目標。
guide_deployment-10925001,敵人數量龐大建議使用空襲妖精，點擊釋放下回合釋放技能。
guide_deployment-10926001,選擇攜帶照明妖精的梯隊。
guide_deployment-10926002,使用照明來拓寬視野。(給沒有視野的空降妖精提供視野)
guide_deployment-10926003,視野拓寬完成......選擇梯隊。
guide_deployment-10926004,點擊點位釋放空降技能。
guide_deployment-10926005,照明妖精提供視野後可以進行夜間空降。
guide_deployment-10926006,選擇梯隊。
guide_deployment-10927001,點擊掃描戰場。
guide_deployment-10927002,點擊設施查看其效果以及範圍。
guide_deployment-10928001,本次作戰需要運用支援梯隊。
guide_deployment-10928002,選擇目標點位。
guide_deployment-10928003,支援梯隊雖然不能直接交戰但是可以破壞敵人設施。
guide_deployment-10928004,支援梯隊還可以遠程打擊敵方設施。
guide_deployment-10929001,綠的控制台代表當前情景下可以使用。
guide_deployment-10929002,防禦門關閉並且有紅色禁止標誌代表禁止通行，但是點上敵人可以移動出來，請前往控制台。
guide_deployment-10929003,點擊此處可以操作設施。
guide_deployment-10929004,無法走上帶有禁止通行的防禦門。
guide_deployment-10930001,棄置歌利亞可以拾取對設施進行爆破。
guide_deployment-10930002,拾取棄置歌利亞。
guide_deployment-10930003,棄置歌利亞可以對敵人使用造成大量傷害。
guide_deployment-10930004,選擇目標。
guide_deployment-10931001,變電站可以對本局戰鬥中emp提供電力。
guide_deployment-10931002,啟動變電站。
guide_deployment-10931003,EMP可以癱瘓範圍2以內的敵人，並且降低屬性。
guide_deployment-10931004,啟動EMP。
guide_deployment-10931005,變電站已經過載。
guide_deployment-10931006,威脅指揮部的敵人已經被emp定住。
guide_deployment-10931007,盡快擊殺指定目標完成任務。
guide_deployment-10931008,拾取EMP手榴彈。
guide_deployment-10931009,EMP手榴彈，可以對敵人扔出造成同樣的效果。
guide_deployment-10931010,對目標使用EMP。
guide_deployment-10932001,傳送節點可以跨越地形對梯隊進行傳送，請利用傳送節點完成任務。
guide_deployment-11000001,以突擊步槍為主力輸出的隊伍擁有穩定持續性的輸出能力，適合持續性的作戰場景。
