()||<BIN>10</BIN><BGM>DJMAX_ShadowFlowerF</BGM>:……挑戰完成。
M950A(0)<Speaker>M950A</Speaker>||:……
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:表現不錯呢，950小姐！+展現了非比尋常的一面哦！
M950A(0)<Speaker>M950A</Speaker>||:不同往常嗎？
TMP(0)<Speaker>TMP</Speaker>||:就是“很酷”的意思啦，950。
M950A(0)<Speaker>M950A</Speaker>||:唔……+和我很搭嗎？
AEK999(0)<Speaker>AEK999</Speaker>||:如果是昨天，我會覺得很不可思議。+但是現在，我看到了你在舞台上的表現，沒有比這首歌更適合你的音樂了。
M950A(0)<Speaker>M950A</Speaker>||:真、真的嗎？+舞台上的記憶有點模糊，我不是很清楚了……
Thunder50(0)<Speaker>雷電</Speaker>||:很酷，應該繼承下來。
M950A(0)<Speaker>M950A</Speaker>||:哈……哈哈……太不好意思了……+回想起來，也許是我壓抑太久的緣故吧……+我不相信我真的有一天會站到舞台上，展現出自己真正想要成為的樣子……
K2(0)<Speaker>K2</Speaker>||:大膽面對自己吧，950。+也許下次可以應聘主唱哦。
Thunder50(0)<Speaker>雷電</Speaker>||:（豎拇指）加油。
M950A(0)<Speaker>M950A</Speaker>||:雷電……+嗯！我會嘗試的！+哼哼……下次大家可以組織一次卡拉OK哦！
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:（小聲）我們中會不會覺醒了麥霸啊……
AEK999(0)<Speaker>AEK999</Speaker>||:（小聲）你不知道她之前在總部時的傳說……+據說有一次周年慶典禮的時候……
M950A(0)<Speaker>M950A</Speaker>||:A？E？K？
AEK999(0)<Speaker>AEK999</Speaker>||:啊！沒什麼，我們繼續吧！
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||<黑点1>:950小姐……真的有非比尋常的一面啊。
