()||<BIN>10</BIN><BGM>DJMAX_Miles</BGM>:……挑戰完成。
TMP(0)<Speaker>TMP</Speaker>||:啊，這就是……
AEK999(0)<Speaker>AEK999</Speaker>||:K2，這就是封印你的音樂嗎？
K2(0)<Speaker>K2</Speaker>||:嗯……我好像已經可以順利下線了。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:看來這就是菲爾對你的“定義”。
K2(0)<Speaker>K2</Speaker>||:定義？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:菲爾會選擇她認為適合的音樂來概括你在這個世界的存在。+你被剝離的心智會認為這首音樂就是她的全部，從而不願從牢籠中離開。
K2(0)<Speaker>K2</Speaker>||:換句話說，這首音樂就是菲爾對於我的印象，是嗎？
AEK999(0)<Speaker>AEK999</Speaker>||:真是溫柔美好的印象呢。
Thunder50(0)<Speaker>雷電</Speaker>||:菲爾沒見過你教訓人的時候。
TMP(0)<Speaker>TMP</Speaker>||:超兇的！沒人能在打嘴仗裡戰勝隊長！
M950A(0)<Speaker>M950A</Speaker>||:（嘆氣）如果一直保持那個狀態，也許我的工作會輕鬆不少呢。
K2(0)<Speaker>K2</Speaker>||:哈哈……後來她確實見識過了呀。+而且，溫柔本身也需要強大的心靈作為根基啊。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||<黑点1>:哼哼，我喜歡這個說法。+走吧，我們向下一個封印出發！
