()||<BIN>10</BIN>:<color=#FF0000>【警告】以下內容為本場【戰鬥教學】，請勿跳過！</color>
Henrietta(0)<Speaker>荷莉葉特</Speaker>||:啊，喬瑟先生來了！早安！+今天的例行訓練也請您多指教了！
NPC-Kalin(2)<Speaker>格琳娜</Speaker>||:哦哦！是這個！+參與戰鬥的不止是義體，輔佐官自己也一樣身在戰場，積累了比義體更多的戰鬥經驗。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:每一位輔佐官都會在例行訓練時指導自己的義體，形成與自己接近的戰鬥習慣。
Henrietta(0)<Speaker>荷莉葉特</Speaker>||:最近訓練項目也沒有變，只要打靶完成測試就好了。+擺好姿勢，然後射擊……
Rico(0)<Speaker>黎各</Speaker>||:啊，妳們在這邊啊。
Henrietta(0)<Speaker>荷莉葉特</Speaker>||:早安，黎各。+只有妳自己過來嗎？
Rico(0)<Speaker>黎各</Speaker>||:吉安先生有事出去了，公社讓我過來和妳們一起訓練。
NPC-Kalin(0)<Speaker>格琳娜</Speaker>||:要指導的人變成兩個了呢。+荷莉葉特已經很熟練了，黎各還需要你來指導。
NPC-Kalin(3)<Speaker>格琳娜</Speaker>||:不過，類似的訓練您早就爛熟於心了，對不對？+這裡有計分系統，要是用完所有子彈還沒有達到規定分數的話，就會判定失敗……+您不會讓傾慕您的小姑娘失望吧，指揮官？可別粗心大意哦！
()<Speaker>系統</Speaker>||:<color=#FFFF00>作為輔佐官，優秀的戰鬥素質必不可少。</color>+<color=#FFFF00>用搖杆調整黎各的位置，然後在正確的時機點擊按鈕，扣下扳機擊中目標吧！</color>
