//放映厅配置
//格式：id|filename,size
//文件名不需要填后缀名，统一为usm
//文件上传在movie目录
1|pv_cube_h,15436096
2|arctic_h,15329216
3|deepdive_h,21105792
4|singularity_h,27163712
5|continuum_turbulence_h,21269888
6|isomer_h,22680096
7|2019summer_h,19810016
8|2019HW_h,10117472
9|2019Xmas_h,18128064
10|2020winter_h,8586112
11|2020WV_h,13454304
12|2020beach_h,16485408
13|2020summer_h,25129376
14|2021winter_Protean_h,16976608
15|2021winter_h,16949536
16|2021summer_h,16861760
23|202408Activity_h,12369696
24|202410Activity_h,14972608
