()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_Helicopter</SE1>:夜晚，叢林戰場——
()<Speaker></Speaker>||<BIN>2</BIN><黑屏2><SE1>Stop_AVG_loop</SE1>:一支小分隊從飛機上降落。
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_Moon</BGM>:唔，總算到了！
MP5Mod(0)<Speaker>MP5</Speaker>||:雖說我們現在組成了臨時小分隊，但這次的任務內容還是單兵作戰為主，請大家注意安全！+這個是給大家準備的物資包裹，要收好哦。
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:我聽從隊長的命令，可是——為什麼會有牛奶？
MP5Mod(0)<Speaker>MP5</Speaker>;M1897Mod(0)||:指揮官就是看我們是矮子，才派我們來這裡鑽洞的啦！+如果長高一點的話……
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:可是我們也是因為身高才能獲得這次任務的啊，清理敵後據點也是很好的鍛煉呢。
MP5Mod(0)<Speaker>MP5</Speaker>;M1897Mod(0)||:但是這也是被當做小孩子看吧！如果我們再高一點的話，才不會有這種事呢。咦，F1，你今天怎麼這麼沉默？
MP5Mod(0);F1(0)<Speaker>F1</Speaker>||:啊，有嗎？沒有吧。
MP5Mod(0)<Speaker>MP5</Speaker>||<黑屏1>:不對勁——+嘛，回去再說，先執行任務吧。
()<Speaker></Speaker>||<黑屏2><BIN>55</BIN><BGM>BGM_Empty</BGM>:儘管地形有些複雜崎嶇，訊號也不太通暢，但在有利的身形掩護下，三人很快清理出一片安全區，正好用來做臨時補給倉。
MP5Mod(0)<Speaker>MP5</Speaker>||:哎，為什麼這次代號是「小女孩」啊……明明我們都已經身經百戰了。+欸？這裡我剛剛掃過啦。
M1897Mod(0)<Speaker>M1897</Speaker>||:那為什麼還有這麼多灰？包裹不要放在地上啦，很容易被踩到的。+啊——F1，你的東西掉出來了，咦，是一本書？
M1897Mod(0);F1(0)<Speaker>F1</Speaker>||:啊，那是才買的新詩集！+怎麼會這樣，我把它弄髒了…
M1897Mod(0)<Speaker>M1897</Speaker>||:別擔心，我這裡有污漬清潔劑，擦一下就好了。
()<Speaker></Speaker>||:書面上的污漬被小心地去除，M1897還順便將三人的包裹重新打包放在了架子上。
F1(0)<Speaker>F1</Speaker>||<BGM>BGM_Hello</BGM>:嗚，謝謝你！這本書要是弄壞了我會很難過的，還好有你在。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:沒事的，這種活兒我很擅長。+不過你有什麼不開心的事情嗎？感覺你今天情緒好低落哦，都不像平常的你……
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:最近發生的事……莫非跟指揮官的安排有關？+我想起來F1好像是排進了下一批改造計劃。
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:那是好事啊，我們改造之後都變強了哦~
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:改造前肯定都會忐忑啦，我記得M1897你之前也不想改造來著。
F1(0)<Speaker>F1</Speaker>||:為什麼要改造啊！是F1不夠好嗎？想要升級些什麼呢？心智性格身體嗎？
