)||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>4</BIN><Night><黑屏2><SE1>AVG_pistol_finalshot_n</SE1>:砰！
()<Speaker></Speaker>||<BGM>BGM_Sad</BGM>:獵手的子彈貫穿了OTs-12的左手臂，OTs-12只是一瞬間的身體偏移，便被獵手以槍口抵住太陽穴。
BOSS-3(0)<Speaker>獵手</Speaker>||:沒想到你這種型號的垃圾也能支撐這麼久。+不過，對你來說，也已經到極限了吧。
()<Speaker></Speaker>||:OTs-12有些無力的左手仍在身後摸索。
()<Speaker></Speaker>||<SE1>AVG_pistol_finalshot_n</SE1>:砰！
()<Speaker></Speaker>||<SE1>Explode</SE1>:轟——！
()<Speaker></Speaker>||<黑屏1>:那枚小型榴彈還未脫手就被獵手擊落，爆炸讓OTs-12控制不了自己的身體。
OTs12(1)<Speaker>OTs-12</Speaker>||<BIN>9</BIN><黑屏2>:<color=#A9A9A9>斯捷奇金那時候……是如何應對的呢？</color>+<color=#A9A9A9>對了，下午斯捷奇金說的那個自毀模式，我應該在出發前要求加上這道保險的……</color>
()<Speaker></Speaker>||<SE1>AVG_wind_grass</SE1>:風聲中混著雜音，不過OTs-12此時無法分辨究竟是自己程式的信號干擾，還是其他。
OTs12(1)<Speaker>OTs-12</Speaker>||:<color=#A9A9A9>確實已經到極限了……</color>
()<Speaker></Speaker>||<黑屏1><SE1>AVG_footsteps_cave</SE1>:腳步聲。+為什麼會有腳步聲？+是錯覺嗎？還是……鐵血的增援到了嗎……
()<Speaker></Speaker>||<BIN>4</BIN><Night><黑屏2><震屏><SE1>Explode</SE1>:轟——！
()<Speaker></Speaker>||<SE1>AVG_footsteps_cave</SE1>:此時爆炸聲卻在不遠處響起。+獵手臉色一沉，轉向聲音傳來的那側。
()<Speaker></Speaker>||:腳步聲。+好像聽到有人踩著瓦礫和碎木走過來的聲音。+OTs-12費力地抬頭——
APS(0)<Speaker>斯捷奇金</Speaker>||<BGM>BGM_Empty</BGM>:<size=48>紫杉樹，你這個傻瓜，笨蛋，你的心智炸毀就炸毀吧，我……最討厭你了！</size>
()<Speaker></Speaker>||:OTs-12在這一瞬間錯愕到幾乎聽不到耳邊的風聲。+獵手皺了皺眉，看著眼前這個看起來自信滿滿的人形。
BOSS-3(0)<Speaker>獵手</Speaker>||<BGM>m_avg_hope</BGM>:剛剛的獵物嗎？居然還會回來。
APS(0)<Speaker>斯捷奇金</Speaker>||:獵手，要不要跟我做個交易？
BOSS-3(0)<Speaker>獵手</Speaker>||:你做了什麼？
APS(0)<Speaker>斯捷奇金</Speaker>||:我燒了那個有投影偽裝的寄存設備，還放了點炸藥在你們的其他物資旁邊。
BOSS-3(0)<Speaker>獵手</Speaker>||:所以呢？
()<Speaker></Speaker>||:斯捷奇金揚了揚手中的引爆器。
APS(0)<Speaker>斯捷奇金</Speaker>||:如果你無所謂損失全部物資，就對著那傢伙的小腦袋開槍好了。+或者……放了她，你還能撿撿剩下的鐵血零件。
BOSS-3(0)<Speaker>獵手</Speaker>||:我為什麼要和你做這種交易？
APS(0)<Speaker>斯捷奇金</Speaker>||<SE1>AVG_amb_wilderness</SE1>:你的智能也不低，我想你能夠明白。+格里芬的救援就快到了，在這裡殺了我和這傢伙，換你們全軍覆沒，值嗎？+只要放我們走，之後自然不會有人來難為你。+我和你，現在是在平等的位置談籌碼，你應該不會不懂吧？
()<Speaker></Speaker>||:風聲繼續，獵手沉默地、以那雙螢石般的眼睛盯住斯捷奇金。+半晌，獵手的槍口離開了OTs-12的腦袋。
BOSS-3(0)<Speaker>獵手</Speaker>||<黑屏1>:扔掉你的引爆器，然後滾吧。+獵物，下次我不會讓你們逃走的。
()<Speaker></Speaker>||<BIN>3</BIN><Night><黑屏2><BGM>BGM_Empty</BGM>:……深夜。+返回格里芬基地的路上。
()<Speaker></Speaker>||<BGM>BGM_Moon</BGM>:斯捷奇金扶著OTs-12，兩人無言地向著基地的方向前進。+OTs-12忍不住望向斯捷奇金的側臉，昏暗的天色讓她看不清斯捷奇金的表情。 
OTs12(1)<Speaker>OTs-12</Speaker>||:斯捷奇金……
()<Speaker></Speaker>||:斯捷奇金沒有看向OTs-12，但前進的速度卻明顯放緩。
OTs12(1)<Speaker>OTs-12</Speaker>||:你怎麼知道獵手會放我走呢？+我是說……殺了我們兩個，它們立刻撤離的話，不是也不會被格里芬的後續部隊圍攻嗎？+不對不對，你……你怎麼又回來了？而且還佈置了那麼多炸藥……
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:怎麼？平時不怎麼說話，話都堆在這會兒說了？
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:我……
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:我不知道獵手會不會放你走，也沒什麼“格里芬的後續部隊”，佈置炸藥也是假的，我唬她的。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:誒？！那它檢查完了，不就會發現被騙了嗎？
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:那傢伙很謹慎，哪怕只是個傀儡。+我想，它們應該會連夜變更據點吧。+畢竟……那批丟失物資我確實燒了，佈置炸藥是假，但格里芬的後續部隊是不是真的，它可無法確認。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:那、那你不是完全在賭博嗎！+它當時要是沒信，你可就要被活捉過去了！
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:那倒不會。+我說佈置炸藥是假，可沒說，炸藥也是假的吧？
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:誒？
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:我哪來那麼多炸藥，就剩這麼點兒，還分了你一部分，剩下的……
APS(0);OTs12(1)||:
()||:斯捷奇金拉開衣服一角。
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:只夠讓我綁在這兒了。
APS(0);OTs12(1)||:
()||:OTs-12看到那拉開的一角，驚得大叫出來。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker><Shake>||:你……！+啊！引爆器！獵手讓你扔在那裡了！
APS(0)<Speaker>斯捷奇金</Speaker>||:放心吧，我做了點手腳，已經不會被引爆了。+所以你不用擔心，我突然爆炸這種事。
()<Speaker></Speaker>||:斯捷奇金說完，兩人又陷入了一陣沉默。+良久，OTs-12突然輕笑了出來。
APS(0)<Speaker>斯捷奇金</Speaker>||:怎麼？聲音控制程式也給打壞了？
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:斯捷奇金……原來，你那時候喊的那句話……+是「自毀命令」啊……
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:不知道你在說什麼，我的自毀命令是一句反話，我不是跟你說過了嗎？
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:對啊！你那時候說……你「最討厭」我嘛！
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:那句可是正經話，我又不是每天都在說反話。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:嘻嘻……是這樣嗎？+那為什麼不惜任務失敗也要救我呢？
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:因為我的心智模型裡被強加了「將格里芬的安危放到第一位」的蠢命令。+所以我無法做出拋棄格里芬人形自己逃走的舉動。
APS(0);OTs12(1)||:
()||:斯捷奇金頓了頓。
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:我可不是為了你，現在我們才是互不相欠了。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:誒？是這樣嗎？
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:當然了，你又笨，理解能力還差，平時悶悶的什麼都不說，就知道聲稱自己有「秘密武器」，在戰場上也只知道聽話。+——哦不對，這次你就沒聽話。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:嘻嘻……從今天開始，我好像真的擁有「秘密武器」了呢。
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:嗯？那是什麼？總而言之，你是個麻煩的隊友，我討厭你，紫杉樹。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:我知道啦，我也喜歡你哦。
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:不知道你在說什麼……我討厭你，紫杉樹。
APS(0);OTs12(1)<Speaker>OTs-12</Speaker>||:嗯！我也喜歡你呢！
APS(0)<Speaker>斯捷奇金</Speaker>;OTs12(1)||:……我最討厭你了，紫杉樹。
OTs12(1)<Speaker>OTs-12</Speaker>||<黑屏1>:好啦好啦，我也最喜歡你了，斯捷奇金♪
()<Speaker></Speaker>||<BIN>8</BIN><黑屏2><BGM>BGM_Empty</BGM>:……翌日，格里芬基地。+指揮室。
()<Speaker></Speaker>||<BGM>BGM_Hello</BGM>:斯捷奇金看著眼前的材料，又好氣又無奈。
APSMod(0)<Speaker>斯捷奇金</Speaker>||:長官，我不太理解。
