()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<BIN>166</BIN><Night><黑屏2><SE1>RunStep</SE1>:月光照著面面相覷的四個人形，以及破壞的牆面，好像一齣荒謬的舞台劇布景。+還沒等維爾德回答，粉色頭髮的人形忽然皺起眉頭，一把抓起維爾德的手就跑。
Welrod(0)<Speaker>維爾德</Speaker>||<BGM>GF_20HW_Scene_BPM82_loop</BGM>:等等，幹什麼？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:你動靜太大了，工人們會驚醒的！
sub2000(5);Welrod(0)<Speaker>維爾德</Speaker>||:……我到底是為了誰啊！
NPC-PasserbyM(0)<Speaker>掉了一隻眼睛的人形</Speaker>;Welrod(0)||:嘎嘎……
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:嗯，我明白，我們得快點！
sub2000(5);Welrod(0)<Speaker>維爾德</Speaker>||:你怎麼連這個都聽得懂啊？！
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<黑屏1>:我猜的！
()<Speaker></Speaker>||<BIN>86</BIN><Night><黑屏2>:跑過街區、跑過公路。+最終，人形們在貧民區的巷道裡停下了。
Welrod(0)<Speaker>維爾德</Speaker>||<BGM>BGM_Empty</BGM>:現在可以說明是怎麼回事了嗎？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<BGM>BGM_Hello</BGM>:你怎麼還在？
sub2000(5);Welrod(0)<Speaker>維爾德</Speaker>||:是你一路拉著我跑的。+而且，你們看起來狀態不好，我想知道原因。
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:啊……這個說起來有點麻煩啊。
NPC-PasserbyM(0)<Speaker>掉了一隻眼睛的人形</Speaker>;Welrod(0)||:庫庫。
sub2000(5)<Speaker>米希亞</Speaker>;Welrod(0)||:總之，我叫米希亞，這個少了眼睛的叫鎖匠，沒胳膊的叫廚師。+我們還有其他一些人形住在這裡，算是我們的家吧。+然後……前幾天我覺得那邊的水泥不錯，想帶一些回來造擋風牆，一不小心就被砌進牆裡了。
sub2000(5);Welrod(0)<Speaker>維爾德</Speaker>||:一不小心？是偷水泥未遂躲進水泥牆後面，被工人一起砌進去了吧。+你這是犯罪，米希亞，我勸你現在就去自首。
sub2000(2)<Speaker>米希亞</Speaker>;Welrod(0)||:你是警用人形嗎，管這麼多？
sub2000(2);Welrod(0)<Speaker>維爾德</Speaker>||:如果社會只有警察強制才能遵守法律，這一定是個非常糟糕的國家。
sub2000(2)<Speaker>米希亞</Speaker>;Welrod(0)||:對我們來說也差不多……總之，我可不會去自首。
Welrod(0)<Speaker>維爾德</Speaker>||:這可由不得你！
()<Speaker></Speaker>||:正在維爾德打算強行帶走米希亞時，稚嫩的聲音響起。
()<Speaker>？？？</Speaker>||:不許你帶走米希亞！
()<Speaker></Speaker>||<震屏3>:小小的撞擊感從維爾德腳後跟傳來。+與此同時，「鎖匠」和「廚師」一邊一個，抓住了維爾德的手臂。
sub2000(5)<Speaker>米希亞</Speaker>||:掃掃？
()<Speaker>掃掃</Speaker>||:快跑呀，米希亞！我們拖住她，你要活下來！
();Welrod(0)<Speaker>維爾德</Speaker>||<SE1>Rope</SE1>:等等，這到底是怎麼回事？這個掃地機器人在做什麼……推我嗎？
Welrod(0)<Speaker>掃掃</Speaker><Shake>||<黑点1>:嗚……！
()||<BIN>86</BIN><Night><黑点2><BGM>BGM_Empty</BGM>:……+短暫的鬧劇後，維爾德終於在人形們的營地坐下。+以米希亞和鎖匠等人形為首，十幾個各有殘損的人形坐在後面，七嘴八舌地講起了它們的故事。
