()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>55</BIN><SE1>Explode</SE1><CGDelay>0.5</CGDelay>:……
MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||<BGM>BGM_Sunshine</BGM>:呼，好險啊。+差點就讓灰塵落到自己身上了。+但這出力果然不一樣，號稱是軍方規格的模組果然厲害。
AR(0)<Speaker>加利爾</Speaker>||:……
AR(0)<Speaker>加利爾</Speaker>||<震屏>:咦咦咦咦？+等一下……我有點糊塗了……+那些鐵血才剛冒出來……怎麼突然就全部都……
MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||:沒什麼好糊塗的，加利爾幫我跟指揮官報備一聲，我會晚點回去。+我還有事要做。
AR(0)<Speaker>加利爾</Speaker>;MicroUZIMod(0)||:這也太突然了……！+你身上的那些東西是從哪裡來的？怎麼突然就有新型的裝備了？
AR(0);MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||:嘿嘿，想不到吧。+還好我搜得很仔細，給我在角落裡找到了這傢伙。+既然合身，那就穿上啦。
AR(0)<Speaker>加利爾</Speaker>;MicroUZIMod(0)||:啊！好奸詐！
AR(0);MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||:現在回頭去附近找還來得及哦，搞不好這附近有其他一樣的東西也說不定。+要是沒有的話……那就抱歉啦！
AR(0)<Speaker>加利爾</Speaker>||:唔……說是這樣說……+新裝備什麼的我倒也……
()<Speaker>【管理員】</Speaker>||:開始匹配可用操作系統……
AR(0)<Speaker>加利爾</Speaker>||:拒絕存取。
()<Speaker>【管理員】</Speaker>||:存取遭拒。+同步雲圖記錄失敗。
AR(0)<Speaker>加利爾</Speaker>||:……+烏茲，這個裝備到底是什麼？+我從來都沒見過會主動連結人形雲圖的智能模組。
MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||:它說它自己是IOP為軍方開發的戰鬥輔助系統。+你為什麼要拒絕存取啊？搞不好它能幫你找到提升作戰效能的新方法啊！
AR(0)<Speaker>加利爾</Speaker>||:……+我不喜歡被其他人窺探雲圖。+特別是來路不明的東西。
AR(0);MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||:畢竟任何人只要看一眼就都會發現你的減肥計劃有多失敗。
AR(0)<Speaker>加利爾</Speaker>;MicroUZIMod(0)||:這當然是一個理由。+……這個世界上每樣東西都有代價，只是未必會擺在眼前而已。
AR(0);MicroUZIMod(0)<Speaker>微型烏茲</Speaker>||:你說話越來越像內蓋夫了，跟我一開始認識你的時候不一樣。
