()||<BIN>8</BIN><黑屏2><BGM>BGM_Hello</BGM>:……+格里芬基地。
M1891(0)<Speaker>莫辛納甘</Speaker>||:所以說嘛，SVT你不覺得這樣的畫面很搞笑嗎！+我那時候是真的忍不住了！
SVT38(0)<Speaker>SVT38</Speaker>||:你昨天居然就在那種場合笑出來嗎……這是很失禮的。+換我一定不管怎樣都會忍住的。
M1891(0)<Speaker>莫辛納甘</Speaker>||:你會這樣說，是因為你都沒看到那隻貓還有指揮官的表情嘛！
()||:……
OTs14(0)<Speaker>OTs14</Speaker>||:……
SVT38(0)<Speaker>SVT38</Speaker>||:那隻貓後來去哪裡了……？+沒有被那個誰欺負吧？
M1891(0)<Speaker>莫辛納甘</Speaker>||:明明就是我們在被它欺負！+為了要抓住它我們可是整個小隊一起上了！
OTs14(0)<Speaker>OTs14</Speaker>||:……莫辛納甘，方便借一步說話嗎？
M1891(0)<Speaker>莫辛納甘</Speaker>||<黑点1>:嗯……？啊……沒問題？
OTs14(0)<Speaker>OTs14</Speaker>||<BIN>73</BIN><黑点2>:多餘的客套話就免了。+莫辛納甘，發生什麼事情了？
OTs14(0);M1891(0)<Speaker>莫辛納甘</Speaker>||:……嗯？我不懂你的意思。+你說的是昨天有野貓打斷指揮官做簡報的事嗎？
OTs14(0)<Speaker>OTs14</Speaker>;M1891(0)||:不，我說的是你自己。
OTs14(0);M1891(0)<Speaker>莫辛納甘</Speaker>||:……我是真的不懂，完全沒有頭緒。+有沒有更明確的提示呀……或許我能想得到？
OTs14(0)<Speaker>OTs14</Speaker>;M1891(0)||:是這樣嗎……+好吧，我知道了，也許是我弄錯了。+抱歉問了奇怪的問題。
OTs14(0);M1891(0)<Speaker>莫辛納甘</Speaker>||<黑屏1>:沒事的，如果有什麼問題的話就和我說吧！
()||<BIN>82</BIN><黑屏2>:……
M1895(0)<Speaker>納甘左輪</Speaker>||:……+姐……能幫我拿一下櫃子上面的東西嗎？
M1891(0)<Speaker>莫辛納甘</Speaker>||:誒……啊，好啊，是要拿放在上面的杯子嗎？+真是的，是誰把這東西放在這麼高的地方啊。
M1895(0)<Speaker>納甘左輪</Speaker>||:………
M1891(0)<Speaker>莫辛納甘</Speaker>||:喏，杯子，拿去吧。
M1895(0)<Speaker>納甘左輪</Speaker>||:……嗯，謝謝。
M1891(0)<Speaker>莫辛納甘</Speaker>||:開會的時間到了，我先去會議室啦。
()||:……莫辛納甘離開了。
M1895(0)<Speaker>納甘左輪</Speaker>||:你們大家……有沒有覺得莫辛納甘她最近有哪裡怪怪的？
TT33(0)<Speaker>托卡列夫</Speaker>||:莫辛納甘小姐……？+我覺得她跟平常一樣啊？
SVT38(0)<Speaker>SVT38</Speaker>||:要說有哪裡怪怪的……+是說她最近好像比平常更開朗了吧？
M1895(0)<Speaker>納甘左輪</Speaker>||:沒錯！這才是問題！+莫辛納甘她一定在煩惱什麼東西！我可從來沒看過她這個樣子！
TT33(0)<Speaker>托卡列夫</Speaker>||:呃……我看不太出差別啊……+但如果是納甘左輪，看錯的機率應該很低才是？
M1895(0)<Speaker>納甘左輪</Speaker>||<黑屏1>0.5</黑屏1>:以我的資歷是絕對不會看錯的！+問題就是……莫辛納甘姐到底是碰到什麼事情了……+為什麼她變成這個樣子呢……？
()||<BIN>80</BIN><BGM>BGM_Empty</BGM><黑屏2>0.7</黑屏2>:……+……某日深夜。+咖啡廳的門輕輕地響起了敲門聲。
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||<BGM>GF_Cafe</BGM>:請進。
M1891(0)<Speaker>莫辛納甘</Speaker>||:……+……請問這裡……還在營業嗎？
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:雖然快到休息時間了，不過現在還可以提供咖啡跟蛋糕哦。+莫辛納甘小姐請坐，請問要點些什麼呢？
M1891(0)<Speaker>莫辛納甘</Speaker>||:嗯……跟平常一樣的咖啡就好……
M1903Cafe(0)<Speaker>春田</Speaker><Position>0,150</Position>||:嗯，好的。+不過很少有人會在這時候來這裡呢，晚上和其他人約好過要做什麼嗎？
