()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:F1的宿舍裡……
M1897Mod(0)<Speaker>M1897</Speaker>||<BIN>82</BIN><BGM>BGM_Dorm</BGM>:為什麼你的房間裡總是有這麼多紙團？
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:我在試圖模仿漢斯先生的筆跡啦！+話說我之前在補給倉留的紙條呢？你們沒看到嘛？還跟指揮官說我失蹤陷入敵方？搞那麼大陣仗……
M1897Mod(0)<Speaker>M1897</Speaker>||:……+是長這樣的紙團嘛？
()<Speaker></Speaker>||:她從網上找了幾張圖，放在前面。
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:對啊，就是這樣的，好奇怪，難道是被風刮走了嗎？
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:倒也不是。
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:？
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:總之，反正，讓我給你做一天的家政服務吧，具體的原因你別問了……
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:啊，可是我最近打算出門，已經跟指揮官請好假了！
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:欸？改造好的第一次遠行嗎？
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:是的，指揮官特地給我的衣服上加了口袋，還是防水的，以後再也不怕東西會被下雨淋濕了。
M1897Mod(0)<Speaker>M1897</Speaker>;F1Mod(0)||:恭喜你，出門是想去找你的偶像漢斯先生嗎？
M1897Mod(0);F1Mod(0)<Speaker>F1</Speaker>||:嗯，也許不是本人，但還是想去碰碰運氣。
M1897Mod(0)<Speaker>M1897</Speaker>||<黑屏1>:那回來我再補償你好了。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:過了一段時間，三個人聚集在F1的宿舍裡。
M1897Mod(0)<Speaker>M1897</Speaker>||<SE1>AVG_door_elecport</SE1>:巧克力慕斯蛋糕，慶祝你的改造！
M1897Mod(0);MP5Mod(0)<Speaker>MP5</Speaker>||:可是F1的改造已經過去很久了啊。
M1897Mod(0)<Speaker>M1897</Speaker>;MP5Mod(0)||:慶祝我們第一次合作愉快？總之就是這樣！
MP5Mod(0)<Speaker>MP5</Speaker>||:好吧，對了，聽說你放棄尋找漢斯先生了？
F1Mod(0)<Speaker>F1</Speaker>||:沒有放棄哦，只是暫時告一段落了。
F1Mod(0)<Speaker>F1</Speaker>||:所以我做了一首詩，來祭奠我們的相遇……來，既然大家都在這裡，不如一起看……
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_Hello</BGM>:啊我要去喝牛奶了！
M1897Mod(0)<Speaker>M1897</Speaker>||:想起來打蛋器還沒洗……
F1Mod(0)<Speaker>F1</Speaker>||<震屏3><SE1>AVG_door_elecport</SE1>:喂喂喂，都給我回來啊！！！
F1Mod(0)<Speaker>F1</Speaker>||:哎，果然這世上只有漢斯先生才是我的知己！
F1Mod(0)<Speaker>F1</Speaker>||:<color=#A9A9A9>那我算不算是漢斯先生的知己呢？</color>
F1Mod(0)<Speaker>F1</Speaker>||:不管了，反正今天吃了蛋糕就要許願——
F1Mod(0)<Speaker>F1</Speaker>||:<color=#A9A9A9>漢斯先生，希望將來我們還有再見的機會。</color>
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:那時候，我一定要鄭重的說上一句——<size=50>我是因為您才愛上詩歌的。</size>
