Erma(21)<Speaker>艾尔玛</Speaker>||:……
NPC_Stevens520(0)<Speaker>史蒂文斯520</Speaker><Position>0,60</Position>;Erma(21)||:别哭丧着脸了。
NPC_Stevens520(0)<Position>0,60</Position>;Erma(21)<Speaker>艾尔玛</Speaker>||:下一个就是你了。
NPC_Stevens520(0)<Speaker>史蒂文斯520</Speaker><Position>0,60</Position>;Erma(21)||:是啊，谁让620不顶用，也牺牲了。
NPC_Stevens520(0)<Position>0,60</Position>;Erma(21)<Speaker>艾尔玛</Speaker>||:你别去了。
NPC_Stevens520(0)<Speaker>史蒂文斯520</Speaker><Position>0,60</Position>;Erma(21)||:我去了，你该开心，这样就没人欺负你了。
NPC_Stevens520(0)<Position>0,60</Position>;Erma(22)<Speaker>艾尔玛</Speaker>||:可是620都搞不定的任务，我担心你……
NPC_Stevens520(1)<Speaker>史蒂文斯520</Speaker><Position>0,60</Position>;Erma(22)||:停，我比620强多了。
NPC_Stevens520(1)<Position>0,60</Position>;Erma(22)<Speaker>艾尔玛</Speaker>||:你在军方实测的成绩比620低了3个——
NPC_Stevens520(1)<Speaker>史蒂文斯520</Speaker><Position>0,60</Position>;Erma(22)||:别再提这事！
NPC_Stevens520(1)<Speaker>史蒂文斯520</Speaker><Position>0,60</Position>||<震屏>:要不是为了帮你，我会被扣分吗！
