()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||<黑屏2><BIN>381</BIN> <BGM>GF_Cafe</BGM>:百合铃，你有没有听见后门有什么声音啊？
Yurine(6)<Speaker>百合铃</Speaker>||:诶，没有啊。
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:从刚刚开始，我就老听见后门有什么动静。
Yurine(6)<Speaker>百合铃</Speaker>||:那我去看看吧。+你在这里歇着就好啦。
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:我自己去看吧。
()||<SE1>AVG_20Winter_Door_Open</SE1>:小邪神拉开了后门。+一个虚弱的身影倒在了面前。
Pekora(0)<Speaker>佩可拉</Speaker>||:饿……天父大人……+好饿……
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:是佩可拉啊。
Pekora(2)<Speaker>佩可拉</Speaker>||:放开佩可拉……你这恶魔……
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:知道啦。
()||:小邪神将佩可拉拎到座位上。
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:有什么想吃的吗？
Pekora(2)<Speaker>佩可拉</Speaker>||:佩可拉……铁骨……
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||:好好好，那来点你平常爱吃的咖喱怎么样？
Pekora(0)<Speaker>佩可拉</Speaker>||:咖喱……佩可拉的爱……
Jashinchan(0)<Speaker>邪神酱</Speaker><Position>0,100</Position>||<黑点1>:好的，一份咖喱便当。
