()<Speaker>指挥官</Speaker>||:白色情人节快乐，P22。+收下吧，这是给你的巧克力。
P22(2)<Speaker>P22</Speaker>||:指挥官的回礼？当然是给我的了。+没有你的份……什么？你也想要？+不可以。
P22(2)<Speaker>指挥官</Speaker><同时置暗>||:……别担心，P22。+你看，这个巧克力有两种口味。
P22(2)<Speaker>P22</Speaker>||:两种口味？以指挥官的性格，我猜是70%以上的黑巧克力，你猜是什么？+看颜色像是草莓巧克力？我觉得不对，指挥官可不是喜欢甜口的类型。
P22(2)<Speaker>指挥官</Speaker><同时置暗>||:吃吃看就知道了。
P22(2)<Speaker>P22</Speaker>||:确实，做得也很漂亮……+那我吃这边，你吃那边？+好的，那就说好了，不管吃到什么味道，都不可以反悔哦。+谢谢你，指挥官，我们都很开心。
P22(2)<Speaker>指挥官</Speaker><同时置暗>||:能让你高兴就好。
()<Speaker></Speaker>||:指挥官苦笑着看着P22收下巧克力。
P22(2)<Speaker>P22</Speaker>||:白色情人节快乐，指挥官。
P22(2)<Speaker>指挥官</Speaker><同时置暗>||:你也一样，P22。
()<Speaker></Speaker>||:……
