SOPIIDamage(2)<Speaker>SOPII</Speaker>||:啊……又找不到合适的零件替换了！
AR15(1)<Speaker>AR15</Speaker>||:你还好吗？受损处有影响到行动能力吗？
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:没事！我还可以再打五十个回合！
M4A1(1)<Speaker>M4A1</Speaker>||:……对不起。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:你在乱道歉什么啦？又不是你炸的我。
AR15(1)<Speaker>AR15</Speaker>||:……
M4A1(1)<Speaker>M4A1</Speaker>||:如果我刚刚向帕斯卡小姐提出实验终止请求……+或许我们现在已经在修理槽里躺着了……+因为我的固执，又要勉强你们跟我配合了。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:修理槽哪有这里有意思啊！稍微动一下零件，那些人形就要尖声惊叫！
AR15(1)<Speaker>AR15</Speaker>||:你是队长，我们理应执行你的指令。+这一点不管什么时间，什么地点，都不会改变。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:就算你跑到天上去了，我们也会跟着找到你，拿到你的指令！
M4A1(1)<Speaker>M4A1</Speaker>||:我……
AR15(1)<Speaker>AR15</Speaker>||:而且，能给M16一点颜色看看我也求之不得。+既然话都放出去了，就绝对不能失败了。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:没错！我已经恨不得立刻去吃垮16了！
M4A1(1)<Speaker>M4A1</Speaker>||:……嗯！
AR15(1)<Speaker>AR15</Speaker>||:我刚刚又复盘了一次“蝰蛇”行动的方案，其实那次有一些地方，我们可以做得更好。
M4A1(1)<Speaker>M4A1</Speaker>||:那我们来整理一下方案吧。
