()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……グリフィン基地の廊下にて。
()<Speaker></Speaker>||<黑屏2><BIN>97</BIN><BGM>BGM_Hello</BGM>:前回のミーティングから数日、パーティの準備の真っただ中にて……
Saiga12(0)<Speaker>Saiga-12</Speaker>||:もう、綺麗な少女がいるのに、普通のパーティをするなんて、//n宝の持ち腐れよ。
Saiga12(0)<Speaker></Speaker>||:その時、見知った影が基地に現れた。
Saiga12(0)<Speaker>Saiga-12</Speaker>||:指揮官！お久しぶりです――
Saiga12(0)<Speaker>指揮官</Speaker>||:おはよう！通りがかった人の数が少ないように感じたけど、//nみんな何をしてるの？
Saiga12(0)<Speaker>Saiga-12</Speaker>||:ああ、指揮官はまだ知りませんでしたね。//nワタシたちでこれから、おっきなパーティを開こうと思ってるんです！
Saiga12(0)<Speaker>指揮官</Speaker>||:ほう？+いや、私としたことが……ではいつもどおり、//n私がみんなのジュースやスナックを買って来よう。
Saiga12(0)<Speaker>Saiga-12</Speaker>||:……+えっと、今回のは普通のパーティとは違うんです。
Saiga12(0)<Speaker>指揮官</Speaker>||:普通のと違う？
Saiga12(0)<Speaker>Saiga-12</Speaker>||:滅っ多にないオフの時間を、武器を片手に過ごせというのですか？
Saiga12(0)<Speaker>指揮官</Speaker>||:とはいえ……みんな戦術人形なんだし……
Saiga12(0)<Speaker>Saiga-12</Speaker>||:問題は服装なんです！指揮官、よーく考えてみてください。//nコックはコックコートを着ていますが、仕事外では私服を着ていますよね？+服装というのは、身分を表す象徴なんです。
Saiga12(0)<Speaker>指揮官</Speaker>||:……言われてみればそうだ。服装が変われば、//n臨戦態勢になっている皆の心も少しは和らぐかもしれない。+パーティなんだから、みんなには思いっきりリラックスしてほしいね。
Saiga12(0)<Speaker>Saiga-12</Speaker>||:でしょう？普段では着られない装いが着られると尚いいですね。+ところで――皆さん、クローゼットにスカートが全然なくて困ってたんです。
Saiga12(0)<Speaker>指揮官</Speaker>||:それならみんなにドレスを着てもらおう。//n私が生地を買ってくるとして……細かい部分はM200とQBU-88に任せよう。
Saiga12(0)<Speaker>Saiga-12</Speaker>||:やったー！最高です指揮官！+ただ、ドレスを着るのに、メインイベントは食事でいいんでしょうか？
Saiga12(0)<Speaker>指揮官</Speaker>||:ドレスといえば、もちろんダンスだよね。グローザに提案して来るよ。
Saiga12(0)<Speaker>Saiga-12</Speaker>||:さすがは世界で一番の指揮官です！
Saiga12(0)<Speaker></Speaker>||:ドレスのあれこれを手配するために、指揮官は大急ぎでその場を後にした。
Saiga12(0)<Speaker>Saiga-12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:ヘヘヘヘヘ、指揮官ったらチョロいんだから！+美少女のドレス姿が見られるのかぁ！次は水着パーティを提案しなきゃ！
()<Speaker></Speaker>||<黑屏2><BIN>73</BIN><BGM>m_avg_casual</BGM>:グリフィン基地のダンススタジオにて。+ダンスについての情報が広まるにつれ、//nスタジオ内の人形の数は多くなっていた。
ZasM76(0)<Speaker>Zas M76</Speaker>||:舞踏会の提案、悪くないわね。//n今回こそはSVDには負けないわ！
ZasM76(0);Saiga12(0)<Speaker>Saiga-12</Speaker>||:こんな時でも勝ち負けにこだわるのね？//nドレスを着られることなんて少ないんだから、//n記念に写真を撮っておこうよ。
