()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<回忆><BIN>82</BIN><黑屏2><BGM>BGM_Hello</BGM>:……早朝。+グリフィン宿舎。
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:コウモリ衣装の動きやすさ、異なる角度からの牙の輝き、//nマントの襟の角度……すべて調整完了。+いざ、肝試し大会へ出発。
()<Speaker></Speaker>||:PSG-1は勝利を信じて疑わない笑顔を浮かべた。鋭い牙が眩しい光を放つ。
m45(2)<Speaker>m45</Speaker>||:PSG-1さん、肝試し大会の最高賞品――//n最新型のスマートオーブンは頼みました！
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:心配いりませんよ、たった10ポイントで手に入りますから。//nm45はゴール地点で待っててください。+そうだ、今回のクッキーは砂糖多めでお願いしますね。//n吸血鬼にだって糖分は必要です。
()<Speaker></Speaker>||<黑屏1>:PSG-1は最後に鏡に映る薄気味悪い吸血鬼を確認すると、//n宿舎から一直線に肝試し大会の会場へ向かった。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><回忆><黑屏2><BIN>88</BIN>:……暗い倉庫内にて。+小さな影が倉庫内部へとこっそり忍び込んだ。
FNFNC(2)<Speaker>FF FNC</Speaker>||<BGM>BGM_Sneak</BGM>:MG3に捕まるなんて、せっかくのアメちゃんが台無しだよ……+いいもん、もっと美味しい物が待ってるもん！+エへへ、みんなイベントで忙しい今なら、//nちょびっとチョコをもらってってもバレないよね……
()<Speaker></Speaker>||:FNCは我が物顔でチョコの置かれた棚へ近づき、//n箱へと魔の手を伸ばした……
FNFNC(2)<Speaker>FF FNC</Speaker>||:あれ、空っぽ？
()<Speaker></Speaker>||<BIN>89</BIN>:その時、いきなり倉庫の明かりがつき、ドアのほうからPSG-1が歩いてきた。
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:ま～たチョコレートの盗み食いですか？+昨晩言いましたよね、//n物資の中のチョコレートは全てあなたに食べ尽くされてるって。
FNFNC(2)<Speaker>FF FNC</Speaker>||:えっ！？私、昨日ここに来てないよ、人違いなんじゃない？
()<Speaker></Speaker>||:FNCの返事に、PSG-1は複雑な表情で黙り込んだ。
PSG1(2)<Speaker>Gr PSG-1</Speaker>||:……+FNC、聞きました？ここ最近、基地で起きた奇妙な事件について……
FNFNC(2)<Speaker>FF FNC</Speaker>||:き、奇妙な事件って？
()<Speaker></Speaker>||:PSG-1はFNCの耳元で囁いた……+PSG-1に何を聞いたのか、FNCはふいに体を強張らせて足元を見た。+そこにはなんと、ドロドロとした赤い液体が//nゆっくりと流れているではないか……
FNFNC(2)<Speaker>FF FNC</Speaker><Shake>||:<size=50>キャアアアアアアア――！</size>
