()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<BIN>72</BIN><黑屏2>:
()<Speaker></Speaker>||:<color=#FFFF00>【「カッコよくてかわいい指揮官に告白する」作戦計画ロード中……】</color>+<color=#FFFF00>【ロード完了】</color>+<color=#FFFF00>【第357回模擬作戦開始】</color>
4type(0)<Speaker>四式</Speaker>||<BGM>GF_Memorial</BGM>:指揮官殿、此度の任務の準備をしているのでありますか？+実は……+吾輩……指揮官殿に伝えたいことが……
()<Speaker></Speaker>||:……
4type(0)<Speaker>四式</Speaker>||:申し訳ありません、指揮官殿！+吾輩は……吾輩は嘘をついておりました……+今回の作戦の情報は、嘘であります！！
4type(0)<Speaker>四式</Speaker>||:吾輩は、からかいたくて指揮官殿を騙したわけではありません！+ただ他の者に脅されて、仕方がなく……
4type(0)<Speaker>四式</Speaker>||:指揮官殿！どうか怒らないで下さい！+うううっ！やめてください！吾輩の射撃管制コアを外さないでください！
4type(0)<Speaker>四式</Speaker>||:鉱山？！やめてください！！！+吾輩は鉱山で働きたくないのでありますうううぅぅぅ……
4type(0)<Speaker>四式</Speaker>||:<size=50>指揮官殿！指揮官殿！！どうか行かないでください！！！</size>
()<Speaker></Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:<color=#FFFF00>【第357回模擬作戦失敗】</color>+<color=#FFFF00>【模擬作戦の結果:射撃管制コアを外され鉱山に送られる】</color>
()<Speaker>指揮官</Speaker>||<黑屏2><BIN>8</BIN><BGM>BGM_Hello</BGM>:四式、どうしたの？こんなところでボーっとして？
4type(0)<Speaker>四式</Speaker>||<立绘震动>:あっ！指揮官殿……
4type(0)<Speaker>四式</Speaker>||:わ……吾輩は今、作戦の準備をしているのであります！+初めての海での任務である故……+少々緊張も……<c>まぁ安心してよ、私の計画は完璧だ。<c>大丈夫、私がいるから。
4type(0)<Speaker>四式</Speaker>||<分支>1</分支>:はい！吾輩は指揮官の計画を信じるのであります！
4type(0)<Speaker>四式</Speaker>||<分支>2</分支>:は、はい！+（吾輩のメンタルモデルが急に熱くなっている気がするのであります……）
()<Speaker>指揮官</Speaker>||<黑点1>:引き続き準備をよろしくね、私は他の子の様子を見てくるよ。
()<Speaker></Speaker>||<BIN>9</BIN><黑点2><BGM>BGM_Empty</BGM>:……
4type(0)<Speaker>四式</Speaker>||:ううっ……+吾輩の指揮官がこんなかっこいいわけが……
4type(0)<Speaker>四式</Speaker>||<震屏>:あ！しまった！+吾輩……まだ本当のことを指揮官殿に伝えてないのであります……+ダメであります！絶対指揮官殿に言うのであります！
4type(0)<Speaker>四式</Speaker>||<黑屏1>:しかし……+もし今回の作戦が取り消しになったら、吾輩の漫画に新たなネタがなくなるのであります……+締め切りも近いし、もし更新が遅れたら……
()<Speaker></Speaker>||<黑屏2><回忆><BIN>80</BIN><BGM>GF_Cafe</BGM>:……
()<Speaker>催促する編集者</Speaker>||<震屏>:なに！！！+ネタがないだと？！それが更新が遅れている理由か？+いや……せめてもう少しマシな理由をくれよ！+編集者だって色々大変なんだ……
4type(0)<Speaker>四式</Speaker>||:申し訳ないのであります！+しかし、吾輩は本当にもう……+最近はあまり任務もなくて……
()<Speaker>催促する編集者</Speaker>||:ネタがないのなら、ネタを創れ。+ネタを創るのは、生きている人間なんだ！+ああすまん、人形だったな……+そうだ、こうすればいい！
()<Speaker></Speaker>||:……
()<Speaker></Speaker>||:…………
4type(0)<Speaker>四式</Speaker>||<震屏>:なんと！！！+吾輩に指揮官殿を騙して、嘘の任務へ行かせると？！+ダメです！ダメであります！吾輩は決して指揮官殿を裏切らないのであります！
()<Speaker>催促する編集者</Speaker>||:グリフィンには掲示板があるんだろう？+匿名で嘘の情報を流せば、別に指揮官にバレることもない。
