()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker>Gr G36</Speaker>||<BIN>9</BIN><黑屏2>:うぅ……
()<Speaker>Gr G36</Speaker>||<黑屏1>:このままだと素体の運行に影響を及ぼしちゃう。早く状況を確認しなくっちゃ。+暗いなぁ、よく見えない、誰かが明かりを消したのかな？+とにかく、先に修理スロットのハッチを開けないと……
()||<BIN>7</BIN><黑屏2>:G36は全力でハッチを押すも、//nハッチが想像よりも遥かに軽かったことに気づいた。
()||:実際のところ、ただのハリボテだ――//n力を入れ過ぎたG36は、閉じ込められていた場所から飛び出し、//n勢い余って雪の中へと倒れ込んだ。
()<Speaker>Gr G36</Speaker>||:え？雪……なにこれ……どういうこと？
()<Speaker>Gr G36</Speaker>||:私、たしか……グリフィンの修理スロットの中にいたはず……なのにどうして……
()||:振り向くと、視界がぼやけている。+雪の中に落としたメガネを拾ってかけ直し、もう一度目を向けた。
()||:G36はそれが修理スロットではなく、//n雪原に突き刺さったプレゼント箱だと気付いた。
G36(4)<Speaker>Gr G36</Speaker><Position>0,-100</Position>||<BGM>BGM_Moon</BGM>:うっ、頭が痛い……+考えただけなのに、死ぬほど痛いよぉ……なんだか……バカになっちゃった気分……
()||:G36はその場でプレゼント箱を見つめた。//n長い間考えてはみたが、状況は何一つ改善しない。
G36(4)<Speaker>Gr G36</Speaker><Position>0,-100</Position>||:ここにいちゃダメだ、早く連絡する方法を見つけないと……
()<Speaker></Speaker>||<黑屏1>:G36は拳を握り、自分を奮い立たせて決心すると、//n前へ一歩踏み出した。
()<Speaker></Speaker>||<黑屏2><BIN>6</BIN><Night>:短い足で雪の中を懸命に進む。//n空は徐々に薄暗くなり、風と雪の音が鳴り響いている。 +どういうわけかG36は、自身の意識と思考が徐々に遠のいてゆくのを感じた。
G36(4)<Speaker>Gr G36</Speaker><Position>0,-100</Position>||:あぁ……寒いだけじゃなくて……お腹が空いてきた……ん？
G36(4)<Speaker></Speaker><Position>0,-100</Position>||:突然、手元のバスケットが光り輝き、激しく揺れ動いた。
G36(4)<Speaker></Speaker><Position>0,-100</Position>||<黑屏1>:G36は、恐る恐るバスケットを覆っていた布をめくった。//nそこにはなんと、発光するキャンディケインと防寒具があるではないか。
G36(10)<Speaker>Gr G36</Speaker>||<黑屏2>:……キャンディなら、エネルギーの補給になるかも。+本物のごちそうだったら、もっと良かったんだけど――
G36(10)<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏>:G36に呼応するかのように、//n彼女が持っていたキャンディケインがひとしきり強く光った。
G36(10)<Speaker></Speaker>||:G36の視界がハッキリしてくると、//n目の前にジューシーなローストチキンが湯気を立てて現れた。
G36(10)<Speaker>Gr G36</Speaker>||<BGM>BGM_Empty</BGM>:ど、どうなってるの？でも、食べ物があって助かっちゃった……+あ、バスケットの中にナイフも！//n良かったぁ、とりあえずエネルギーを補給しよっと……
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||<BGM>BGM_Hello</BGM>:すみません、親切なお嬢さん。あの……私にも少し分けてくれませんか？
G36(10)<Speaker>Gr G36</Speaker>||:ん？妖精さんですか？どうしてこんなところに……
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:分かりません。でも、今日がめちゃくちゃ寒いことだけは分かります。+これ以上食べるものがなかったら、死んじゃいそうです。
G36(10)<Speaker>Gr G36</Speaker>||:そういうことなら、あちらのローストチキンを少し分けて差し上げましょう。
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:わぁ！いいんですか！
()||:妖精は稲妻のごとく、一瞬でローストチキンを平らげた。
G36(10)<Speaker>Gr G36</Speaker>||:えっ、もう食べちゃったの……
G36(10)<Speaker>Gr G36</Speaker>||:<color=#A9A9A9>（ちょっとは残してほしいって……言いそびれた……）</color>
G36(10)<Speaker>Gr G36</Speaker>||:<color=#A9A9A9>（妖精さんって、単なるホログラフのはずじゃ？この食欲は一体どこから？！）</color>
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:ゲップ……ごちそうさまでした！親切なお嬢さん！
G36(10)<Speaker>Gr G36</Speaker>||:うぅ……少しって言ったのに……
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:はい？
G36(10)<Speaker>Gr G36</Speaker>||:いいえ……ご満足頂けてなによりです。
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:お嬢さん、あそこの森に遭難した妖精が大勢いるんです！+もしできたら、助けてあげられませんか？
G36(10)<Speaker>Gr G36</Speaker>||:えっ、遭難した妖精さんが他にも？
G36(10)<Speaker>Gr G36</Speaker>||:<color=#A9A9A9>（生きてる人が見つかれば、グリフィンに戻る道もわかるかもしれない）</color>
G36(10)<Speaker>Gr G36</Speaker>||<黑屏1>:お願いします、私を連れて行ってください！
FairyGold(1)<Speaker>黄金妖精</Speaker><Position>0,250</Position><Shake>||<黑屏2><BIN>7</BIN><Night>:ううう寒い寒い寒い！このままだとアイスキャンディーになっちゃうわ！
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:こっちです、G36お嬢さん！ボスはこの付近にいるはずです。
FairyGold(1)<Speaker>黄金妖精</Speaker><Position>0,250</Position>||:ん？人の話し声？誰？誰かいるの？
G36(10)<Speaker>Gr G36</Speaker>||:あっ、見つけました。やっぱり、他の妖精さんもいたのですね。
FairyGold(1)<Speaker>黄金妖精</Speaker><Position>0,250</Position>||:あぁぁ～～なんて良いところに！//n早くお金をよこしなさい！もう暖を取れる物がないのよ！+最後の札束は昨日燃やしちゃったし、//n金塊はどうやっても燃えないんだもの！
FairyShield(0)<Speaker>守護妖精</Speaker><Position>0,250</Position>||:ボス、こんな時にお金をねだってどうします……
G36(10)<Speaker>Gr G36</Speaker>||:寒いなら、温かいお洋服をたくさん着るのがよろしいのでは？//n例えば、毛糸の靴下なんていかがでしょう？
