()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>96</BIN><BGM>BGM_Hello</BGM>:……パーティー前。+AR-15はドアに寄りかかりながら、談笑する人形たちを見つめていた。
AR15(3)<Speaker>ST AR-15</Speaker>||:この服、動きが制限されるったらありゃしないわね。+チッ、M16のやつ、なにが参加すればパーティーが好きになるよ。//n自分だけじゃない。
AR15(3)<Speaker></Speaker>||:AR-15はスカートのすそを下に引っ張った。
AR15(3)<Speaker>ST AR-15</Speaker>||:こんな動きづらい服着て自由自在に動ける奴なんているのかしら？
()<Speaker>？？？</Speaker>||:いやだ！いやだいやだいやだ！
()<Speaker></Speaker>||:パーティーの賑やかな雰囲気が唐突な叫び声に引き裂かれた。
AR15(3)<Speaker>ST AR-15</Speaker>||:んん？あれはSOP II？+……何もない場所に向かって何してるの？
AR15(3)<Speaker></Speaker>||:AR-15はSOP IIのもとまで行くと、彼女を会場の端まで引き寄せた。
AR15(3)<Speaker>ST AR-15</Speaker>||:SOP II、あんた――
M4 SOPMOD II(2)<Speaker></Speaker>;AR15(3)||<SE1>Rope</SE1>:SOP IIは突然手を伸ばすと、//nAR-15の襟を鷲掴みにし、大声で叫んだ。
M4 SOPMOD II(2)<Speaker>M4 SOPMOD II</Speaker>;AR15(3)||<震屏><BGM>BGM_Empty</BGM>:今度は絶対行かせない！
M4 SOPMOD II(2);AR15(3)<Speaker>ST AR-15</Speaker>||<BGM>m_avg_labyrinth</BGM>:……あんた、どうしちゃったのよ？
M4 SOPMOD II(2);AR15(3)<Speaker></Speaker>||:AR-15は驚きつつもSOP IIの手を襟から放した。//nSOP IIの目に徐々に光が戻り始める。
M4 SOPMOD II(3)<Speaker>M4 SOPMOD II</Speaker>;AR15(3)||:ううぅ……AR-15……
M4 SOPMOD II(3);AR15(3)<Speaker>ST AR-15</Speaker><Shake>||:ど、どうしたっていうのよ？+何があったの？誰かに酷いことでもされた？
