//放映厅配置
//格式：id|filename,size
//文件名不需要填后缀名，统一为usm
//文件上传在movie目录
1|pv_2016_summer,52681600
2|pv_2017_winter,60774944
3|pv_2017_summer,76192512
4|singularity,76497728
5|continuum_turbulence,71747360
6|isomer,38256480
7|2019summer,49939552
8|2019HW,45622144
9|2019Xmas,61926688
10|2020winter,21150080
11|2020WV,38524896
12|2020beach,43409056
13|2020summer,51427168
14|2021winter_Protean,42142112
15|2021summer,61001856
16|2021winter,61548416
17|2022winter,49422720
18|2022summer,60542848
19|2023winter,42583488
20|202404Activity,39094688
