()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()||<BIN>166</BIN><Night><黑屏2><SE1>RunStep</SE1>:月の光が、顔を見合わせる四名の人形と、壊れかけた壁を照らしていた。//nまるでナンセンスな舞台背景のようだ。+ウェルロッドの回答を待たずに、ピンク髪の人形は突然、眉をしかめると、//nウェルロッドの手を掴んで走り出した。
Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||<BGM>GF_20HW_Scene_BPM82_loop</BGM>:待ってください、何するんですか？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:アンタが大きな音出すから、作業員が起きるじゃないさ！
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:……誰のためだと思ってるんです！？
NPC-PasserbyM(0)<Speaker>片方の目が欠けた人形</Speaker>;Welrod(0)||:ガガ……
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:うん、わかってる、急ぐよ！
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:彼の言ってる事がわかるんですか！？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<黑屏1>:カンだよ、カン！
()<Speaker></Speaker>||<BIN>86</BIN><Night><黑屏2>:街を通り過ぎ、大通りを抜ける。+やがて、人形たちはスラム街の裏通りで足を止めた。
Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||<BGM>BGM_Empty</BGM>:今なら説明して頂けますか？
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||<BGM>BGM_Hello</BGM>:アンタ、なんでいるの？
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:あなたが手を掴んで引っ張るから。+それに、あなた方は大変な状況にいるようです。その理由を知りたいのです。
sub2000(5)<Speaker>？？</Speaker>;Welrod(0)||:あー……話すと長くなるけど……
NPC-PasserbyM(0)<Speaker>片方の目が欠けた人形</Speaker>;Welrod(0)||:クカッ……
sub2000(5)<Speaker>メシア</Speaker>;Welrod(0)||:アタシはメシア。//nこの目ん玉が欠けてんのはロックスミス、腕がないのはシェフ。+ここには他にも何人か人形が住んでる。まぁ、家族みたいなもんだね。+そんで……数日前、あそこのセメントが気に入ったもんで、//nちょっと拝借して壁を作ろうと思ったら、うっかり壁の中に埋められちゃって。
sub2000(5);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:うっかり？セメントを盗もうと壁の裏に隠れていたら、//n何も知らない作業員に埋められたという訳ですね。+メシアさん、これは立派な犯罪ですよ。//n今すぐにでも自首するべきです。
sub2000(2)<Speaker>メシア</Speaker>;Welrod(0)||:うるさいなぁ。アンタまさか、警察用人形かなにか？
sub2000(2);Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:警察でしか法の遵守を強制できないような社会は、//nろくな国にはなりませんよ。
sub2000(2)<Speaker>メシア</Speaker>;Welrod(0)||:アタシらからしたら、大差ないけどね……とにかく、自首はしないよ。
Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||:あなたには選択権はありません！
()<Speaker></Speaker>||:ウェルロッドが無理やりメシアを連行しようとしたその時、子供のような甲高い声が響いた。
()<Speaker>？？？</Speaker>||:メシアを放せ！
()<Speaker></Speaker>||<震屏3>:小さな何かが、ウェルロッドの踵にぶつかった。+それと同時に、「ロックスミス」と「シェフ」が//nそれぞれウェルロッドの腕をつかんだ。
sub2000(5)<Speaker>メシア</Speaker>||:スウィープ？
()<Speaker>スウィープ</Speaker>||:逃げて、メシア！この人はボクたちで引き留めるから、メシアは生きて！
();Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||<SE1>Rope</SE1>:待って下さい。どういうことですか？//nこのお掃除ロボットは一体何を……私を押している？
Welrod(0)<Speaker>スウィープ</Speaker><Shake>||<黑点1>:う～……！
()||<BIN>86</BIN><Night><黑点2><BGM>BGM_Empty</BGM>:……+暫しのイザコザを経て、ウェルロッドは結局、//n人形たちのアジトに居座っていた。+アジトには、メシアとロックスミスたちを筆頭に、//n欠損を持つ十数名の人形たちが座っており、//n彼らは好き勝手に各々の話を始めた。
Welrod(0)<Speaker>ウェルロッドMkⅡ</Speaker>||<BGM>BGM_Moon</BGM>:つまり、皆さんは淘汰された人形で、//nここに隠れていないと廃棄されてしまうのですね？
sub2000(5)<Speaker>メシア</Speaker>;Welrod(0)||:そういうこと。+アンタも見たでしょ、ここではスウィープや私みたいに、//n欠損のない人形のほうが珍しいの……//nまぁ、その日暮らしには変わりないけど、誰も廃棄されたいとは思ってない。
