 ()||<BIN>1</BIN><Night><BGM>BGM_Room</BGM>:……到達第一個據點。
MP5(0)<Speaker>MP5</Speaker>||:報告，MP5抵達目的地。
MG5(0)<通讯框><Speaker>MG5</Speaker>;MP5(0)||:看來還算順利呢，我們之前還擔心這個任務會不會太勉強了。
MG5(0);MP5(0)<Speaker>MP5</Speaker>||:嘻嘻，多虧了指揮官的引導呢，我也會小心的。
MG5(0)<Speaker>MG5</Speaker>;MP5(0)||:很好，那你找到當地的偵察人形了嗎？
MP5(0)<Speaker>MP5</Speaker>||:那個……不知道哪裡去了，會不會是藏起來了？
MP5(0)<Speaker>？？</Speaker>||:既然是在敵方地盤偵察，藏起來不是理所當然嗎？
MP5(0)<Speaker>MP5</Speaker>||<震屏>:呀！是誰？！
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:噓……鐵血就在旁邊，那麼大聲是想死嗎。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:（小聲）抱、抱歉……WA2000小姐。你這邊情況怎麼樣？
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:我的情況？當然很好。而戰場的情況？那就未必了。+這裡到處都是裝甲蟲子，你是怎麼一個人跑進來的。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:我？我是被當地的指揮官護送過來的。
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:誒？什麼？！+喂！怎麼突然就切到指揮官那邊了！
MP5()<Speaker>MP5</Speaker>||:噓……請小聲點，鐵血就在旁邊呀！
WA2000()<Speaker>WA2000</Speaker>||:（小聲）知、知道了，不用你提醒啊……
WA2000(0)<Speaker>WA2000</Speaker>||<黑屏1>:那個……你就是S09區指揮官嗎？+呃……感謝你的協助，還有……+……沒有了，向你致敬，報告結束。
MP5(0)<Speaker>MP5</Speaker>||<BIN>1</BIN><黑屏2><Night>:誒？這就結束了呀？
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:我們是人形，只要完成任務就行了吧。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:可是……你的臉好像紅了？難道是不好意思？
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:哪、哪有！再說了，我是為了任務而生的，不擅交流也很正常吧！
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:到底要肯定還是要否定啊……
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:別囉嗦了，你不是來回收偵察報告的嗎，拿到了還不快點走。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||:謝謝你，WA小姐。這裡還有些補給品，是G36小姐專門為你準備的。
WA2000(0)<Speaker>WA2000</Speaker>;MP5(0)||:啊……是巧克力霜淇淋嗎？不愧是G36，還真瞭解我。+不過不准對人說哦……WA2000喜歡霜淇淋？太可笑了。
WA2000(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:那個……十分抱歉……+其實……和指揮官的通訊一直沒關……
WA2000()<Speaker>WA2000</Speaker>||<BIN>9</BIN>:………………+……早說啊！
