20349<-ID->()||<BIN>9</BIN><黑屏1><BGM>BGM_Sneak</BGM>:……
20350<-ID->()||<BIN>88</BIN><黑屏2>:鄰近基地的廢棄城鎮，某地下室裡。
20351<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:鐵血工造的傀儡……？！+為什麼……會在這裡，而且還有這麼多？！+不行了！這真的不行了，必須趕快回去告訴大家才行！
20352<-ID->()<Speaker>冷靜的聲音</Speaker>||<BGM>BGM_Empty</BGM><BIN>88</BIN>:大門的智能鎖壞成那樣是意料之中的事。+不過格里芬人形的力量……就是計算之外了。
20353<-ID->強勢的聲音()||<BIN>88</BIN>:我就搞不懂你為什麼要這麼堅持解決她們，不就是幾個小孩子嗎。
20354<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:咦……這些聲音是………
20355<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BGM>BGM_Boss</BGM><BIN>88</BIN>:要不是你的動作慢了一步，我甚至可以在她們發現我們前，把她們先解決掉。
20356<-ID->BOSS-2(0)<Speaker>劊子手</Speaker>;BOSS-1(0)||<BIN>88</BIN>:對小孩子動手違反我的原則。+解決她們也沒好處，還干擾到任務了。
20357<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:我們的任務是來啟動這個後備傀儡倉庫，當然是安全第一。+要是她們幾個跑回去報告格里芬就麻煩了。
20358<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:啟……啟動？！+而且大家都已經……？！
20359<-ID->BOSS-2(0)<Speaker>劊子手</Speaker>||<BIN>88</BIN>:呿，沒事派我們到這麼遠的地方找不知道還在不在的後備倉庫……+真不知道干擾者是哪來的自信……
20360<-ID->BOSS-2(0);BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:這裡本來就是鐵血工造分廠的位置，而且倉庫很早就進入封存了。+計算結果顯示這裡面的東西保存良好狀態的可能性非常高。
20361<-ID->BOSS-2(0)<Speaker>劊子手</Speaker>||<BIN>88</BIN>:不過是一些舊傀儡而已，有必要這麼大費周章嗎？
20362<-ID->BOSS-1(0)<Speaker>稻草人</Speaker>||<BIN>88</BIN>:除了舊傀儡之外，更底下的地方還有很多歌利亞炸彈能用。+那些格里芬人形……一看到歌利亞就會陣腳大亂開始逃竄呢。
20363<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:鐵血的人形一旦啟動的話……+基地馬上就有危險了……！+……嗚……！怎麼辦……怎麼會變成這樣……
20364<-ID->()<Speaker>劊子手</Speaker>||<BIN>88</BIN>:哼，這樣一來要是突襲成功，功勞不就又要被干擾者端走了嗎？
20365<-ID->()<Speaker>稻草人</Speaker>||<BIN>88</BIN>:少抱怨了，看來這裡的傀儡保存狀態的確良好。+去控制室吧，將它們連上指揮網路之後就沒我們的事情了。
20366<-ID->()||<BIN>88</BIN>:……劊子手和稻草人的聲音遠去了。
20367<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:嗚啊……P7、C96和M1919她們難道真的都已經………+不行啊……現在逃走已經來不及了……一定要趕快阻止鐵血才行！+但是……怎麼會變成這樣……+要是這裡有其他人就好了……要是……
20368<-ID->()||<BIN>88</BIN>:……MP-446一邊發抖一邊看向一旁的傀儡素體。
20369<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:…………+……C96？
20370<-ID->MP446(0)<Speaker>MP-446</Speaker>||<BIN>88</BIN>:我可以把你當成C96嗎？
20371<-ID->()||<BIN>88</BIN>:……MP-446將那個傀儡的頭拆了下來。
