()||<BIN>41</BIN><SE1>Battlefield</SE1><BGM>BGM_NightOPS</BGM>:…………+……3分鐘後，鐵血炮擊目標的原地。
馬卡洛夫()<Speaker>馬卡洛夫</Speaker>||:真是的……+你們這些星條旗的人形，老喜歡搞個人英雄主義嗎？
RO635()<Speaker>RO635</Speaker>||:哈哈……+大概就是這樣吧，我們一直都不是什麼頭腦冷靜的傢伙……
AAT52()<Speaker>AAT52</Speaker>||<SE1>Battlefield</SE1>:啊，RO你終於又笑啦。+我還以為去了AR小組後你已經變了。
RO635()<Speaker>RO635</Speaker>||:這個嘛……+AR小組的氣氛還是不一樣的，不自覺就會被影響了……
馬卡洛夫()<Speaker>馬卡洛夫</Speaker>||:（歎氣）所以說你們AR小組，是怎麼活到現在的……+這麼胡來，不僅是AR15……你們……+你們所有人……真的可能會死掉啊……
RO635()<Speaker>RO635</Speaker>||<SE1>Battlefield</SE1>:活在當下吧，至少這次，我們成功了。
馬卡洛夫()<Speaker>馬卡洛夫</Speaker>||:哼，勉勉強強趕上吧。+至少你這個隊長，也算是發揮了一點作用。
RO635()<Speaker>RO635</Speaker>||:（歎氣）你不知道我們的行動有多麻煩……+幸虧帕斯卡小姐的干擾程式奏效了，剛才炮彈在發射時推進速度的確被削弱了很多。+感謝各位了，斯登，還有AAT，多謝你們協助包圍了炮台的周遭據點。
AAT52()<Speaker>AAT52</Speaker>||:嘿嘿，這樣就能讓木星炮台大幅弱化啦。+鐵血的新玩意也不是戰無不勝嘛！
斯登()<Speaker>斯登</Speaker>||:可是……馬卡洛夫她們現在怎麼辦？+她們還是受了傷，行動很不方便，而夢想家的梯隊還在搜索她們……
RO635()<Speaker>RO635</Speaker>||<黑屏1>:（站起身來）我們先會合，然後我去聯絡指揮官。+放心吧，所有人都不會有事的。
RO635(2)<Speaker>RO635</Speaker>||<黑屏2><BIN>10</BIN><BGM>BGM_Empty</BGM>:長官，我是RO635。+我們已經成功端掉了鐵血的炮台，它現在無法造成威脅了。
RO635(0)<Speaker>RO635</Speaker>||:但是，我們在撤退路線上可能會遭遇夢想家和它的梯隊。+請您保護我們，長官，讓我們在指揮部相見吧。
