()||<BIN>34</BIN><BGM>BGM_Empty</BGM>:…………
FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>34</BIN>:……這樣，可以了吧？
FN49(0)<Speaker>FN-49</Speaker>||<BIN>34</BIN>:停……停下來了嗎……
BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:我上去看看！
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:諾愛兒，小心點。
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:喂，你到底……是什麼人？
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>34</BIN>:…………+你……你是……
GG_elfeldt_505(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:……！+她……知道我嗎？
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>34</BIN>:人……人偶……+我的……“感情”……？+對了……瓦倫蒂的……“感情”……+我……我是……+我到底……是……！
GG_elfeldt_505(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>34</BIN><黑屏1><震屏>:唔啊啊啊啊啊啊啊！
()||<BIN>9</BIN><SE1>TiexueDie</SE1>:……愛爾菲特應聲倒下，失去了動靜。
FAL(0)<Speaker>FAL</Speaker>||<BIN>34</BIN><黑屏2>:…………+你們先別動，我上去看看。
FAL(0);FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>34</BIN>:小、小心一點啊……
FAL(0)<Speaker>FAL</Speaker>;FNFNC(0)||<BIN>34</BIN><BGM>BGM_Room</BGM>:…………+傀儡網路神經被切斷了，已經無法動彈了。
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>34</BIN>:……傀儡網路？這麼說它是……
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>34</BIN>:恩，這只是一具鐵血改造的傀儡子機而已……+也就是說……這不是本體。
FAL(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>34</BIN>:不是……本人嗎？+那、那麼！真正的愛爾菲特到底在哪裡？
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>34</BIN>:子機在這裡的話，本體應該也在附近……+各位！馬上對附近的可疑地點展開搜索！
FAL(0);FN49(0)<Speaker>FN-49</Speaker>||<BIN>34</BIN><黑屏1>:瞭解了！
()||<BIN>54</BIN><黑屏2>:同一時間，鐵血工廠某處……
BOSS-4(0)<Speaker>干擾者</Speaker>||<BIN>54</BIN>:……這次，是這樣的結局嗎？+算了，反正也只是撿來的玩具罷了……+作為餘興演出已經表現得很不錯了。+那麼……辛苦你了，看來我們只能在這裡告別了呢。+慢慢等待喚醒你的王子到來吧……“兔子”小姐。
()||<BIN>54</BIN>:…………
愛爾菲特()<Speaker>愛爾菲特</Speaker>||<BIN>54</BIN><黑屏1>:…………
()||<BIN>9</BIN><黑屏2><黑屏1>:FN小隊搜尋一段時間後……
FAL(0)<Speaker>FAL</Speaker>||<BIN>54</BIN><黑屏2>:49發現的可疑容器，就是這裡嗎？
FAL(0);FN49(0)<Speaker>FN-49</Speaker>||<BIN>54</BIN>:應該……就是這個沒錯。
BB_Noel(2)<Speaker>諾愛兒</Speaker>;FN49(0)||<BIN>54</BIN>:真正的……愛爾菲特……
BB_Noel(2);FN57(0)<Speaker>FN-57</Speaker>||<BIN>54</BIN><黑屏1>:好了，這裡交給我吧，讓我處理一下……
容器()<Speaker>容器</Speaker>||<BIN>9</BIN><黑屏2>:…………+許可權……檢測……SP914"Intruder"——干擾者。+——認證通過√
FN57(0)<Speaker>FN-57</Speaker>||<BIN>54</BIN><黑屏2>:搞定了~
()||<BIN>54</BIN>:容器的蓋子緩緩開啟……
()||<BIN>54</BIN><SE1>ClothingUp</SE1>:…………
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>54</BIN>:…………
GG_elfeldt_504(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>54</BIN>:啊……+這就是……
FAL(0)<Speaker>FAL</Speaker>;BB_Noel(2)||<BIN>54</BIN>:怎麼樣……是你看見的那個人嗎？
FAL(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>54</BIN>:沒、沒錯！就是她！+她就是那時“觀測”到我的“觀測者”！
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>54</BIN>:…………啊！
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>54</BIN><震屏><BGM>BGM_Empty</BGM>:愛爾菲特·瓦倫蒂，將毀滅所有不適任的人偶們！
GG_elfeldt_504(0);FAL(0)<Speaker>FN小隊</Speaker>||<BIN>54</BIN><SE1>Reload</SE1>:……！（舉起槍）
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;FAL(0)||<BIN>54</BIN>:……嗯？+這、這是什麼情況！為什麼我被這麼多槍指著？！+啊、是人類嗎？抱歉抱歉！+剛才那個是我醒來時被設定的固有台詞，請不要在意啊！
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>54</BIN>:…………
BB_Noel(2)<Speaker>諾愛兒</Speaker>;FAL(0)||<BIN>54</BIN>:…………
BB_Noel(2);FNFNC(0)<Speaker>FN-FNC</Speaker>||<BIN>54</BIN>:…………看樣子，不是什麼危險人物呢。
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;FNFNC(0)||<BIN>54</BIN>:……那個……請問……+現在是……什麼狀況？
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>54</BIN><黑屏1>:（歎氣）……這裡不方便說話，附近說不定還有鐵血的殘餘。+叫……愛爾菲特小姐，是吧？+跟我們來吧，比起你的問題，我們有更多想問的……
()||<BIN>9</BIN><黑屏2>:FN小隊帶著愛爾菲特撤回指揮部後……
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>||<BIN>8</BIN><BGM>BGM_Sunshine</BGM><黑屏2>:……也就是說，我和你一起來到了別的世界了嗎？
GG_elfeldt_504(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:……是的。
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>8</BIN>:時代也不是我所處的那個時代，而且這裡居然還大量用著“科學”。+……的確是“另一個世界”呢。
GG_elfeldt_504(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:沒錯……+既然你在“窯”裡出現，也就是說你也是從別的世界過來的吧？
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>8</BIN>:我只記得……聖艾爾蒙之光打了下來……+然後在一個不認識的地方看見了你，之後的事情就記不清了……
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:……被鐵血利用的事也不記得了嗎？
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;FAL(0)||<BIN>8</BIN>:我只是一直在陷入沉睡而已……什麼都不知道。
GG_elfeldt_504(0);FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:（歎氣）我們可是差點栽在你手裡……+變成這樣的話，都不知道怎麼責怪你了。
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;FAL(0)||<BIN>8</BIN>:真是抱歉！沒想到我做了那麼過分的事情……
GG_elfeldt_504(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:這不能怪你！只是那個叫鐵血的不好，現在的話已經沒事了。
GG_elfeldt_504(0)<Speaker>愛爾菲特</Speaker>;BB_Noel(2)||<BIN>8</BIN>:諾愛兒小姐……好吧！+你不是一直在找我嗎？有什麼我能幫忙的我一定盡力而為！
GG_elfeldt_504(0);BB_Noel(2)<Speaker>諾愛兒</Speaker>||<BIN>8</BIN>:恩！我正需要你的力量，讓我們一起回去吧！
FN57(0)<Speaker>FN-57</Speaker>;BB_Noel(2)||<BIN>8</BIN>:你現在打算如何回去呢？
