()||<BIN>8</BIN><BGM>BGM_Room</BGM>:……作戰結束。
NPC-Kalin(4)<Speaker>格琳</Speaker>||:總算結束了……帕斯卡小姐也說了，這是最後一次了吧？+不過還是沒什麼收穫呢，除了一卷錄影帶……
NPC-Persica(1)<Speaker>帕斯卡</Speaker><通讯框>;NPC-Kalin(4)||:啊！錄影帶！這個……給我看看！
NPC-Persica(1);NPC-Kalin(2)<Speaker>格琳</Speaker>||<黑屏1>:誒？這個……指揮官，可以放出來嗎？
格琳()<Speaker>格琳</Speaker>||<黑屏2><BIN>9</BIN><黑屏1>:好吧，開始播放了哦——
()||<黑屏2><BIN>2</BIN><边框>2</边框>:……
M4A1(0)<Speaker>M4A1</Speaker>||<边框>2</边框>:……19點25分，逃亡第70天，行動毫無進展……不，不如說，陷入了更艱難的處境……+……因為，我被鐵血盯上了。+雖然被鐵血追擊是意料之中，但是對方咬得很緊，情況很不樂觀……
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏1><边框>2</边框>:我不知道能堅持多久，必須儘快和格里芬的人員聯繫。
()||<黑屏2><BIN>8</BIN>:……播放結束。
NPC-Kalin(4)<Speaker>格琳</Speaker>||:這個……是什麼？帕斯卡小姐，是你想要的東西嗎？
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>;NPC-Kalin(4)||:……
NPC-Persica(0);NPC-Kalin(4)<Speaker>格琳</Speaker>||:帕斯卡小姐？？
NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Kalin(4)||:啊！+哦……那個……
NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:不管怎樣，感謝你，指揮官。+不愧是赫麗安看好的王牌……鼓掌鼓掌……
NPC-Persica(2)<Speaker>赫麗安</Speaker>||:可不是我看好就可以了，重點培養這位指揮官是克魯格的決策。
NPC-Persica(2)<Speaker>帕斯卡</Speaker>||<黑屏1>:哦！是呢，畢竟老闆才是一切的決定者，順便……
NPC-Helian(0)<Speaker>赫麗安</Speaker><通讯框>;NPC-Persica(2)<通讯框>||<黑屏2>:順便——帕斯卡。+你的任務完成了嗎？
NPC-Helian(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker>||:那個……安心啦。+資料我已經拿到了，馬上就有結果了。
NPC-Helian(0)<Speaker>赫麗安</Speaker>;NPC-Persica(1)||:那就請儘快吧，時間不多了，你應該清楚。+而且，我們培養這位指揮官可不是幫你找燒杯的。
NPC-Helian(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:唔……指揮官……這次，多謝囉……
NPC-Helian(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:下回，請你喝咖啡……在我的實驗室……
()||:帕斯卡關閉通訊……
NPC-Helian(1)<Speaker>赫麗安</Speaker>||:（歎氣）除非你想在冷藏室裡喝甜掉牙的刷鍋水，不然還是忘了她吧。
NPC-Helian(0)<Speaker>赫麗安</Speaker>||<黑屏1>:回到正題吧，指揮官。+格里芬現在有個重要任務要交給你，接下來，我將詳細地說明——
