13613<-ID->()||<BIN>99</BIN>:……作戰結束。
13614<-ID->NPC-Kalin(0)<Speaker>格琳娜</Speaker>||<BGM>BGM_Frontline</BGM><BIN>99</BIN>:指揮官，我們已經成功將另一邊的人形帶回來了！
13615<-ID->NPC-Kalin(3)<Speaker>格琳娜</Speaker>||<BIN>99</BIN>:但是卻沒有見著聯絡我們的那個人……+更奇怪的是，連人形們也都不記得是誰救了她們……+所以對方的身份到底是……
13616<-ID->()||<BIN>99</BIN>:……一個小型無人機在基地附近降落。
13617<-ID->NPC-Kalin(2)<Speaker>格琳娜</Speaker>||<BIN>99</BIN>:那個訊號，是傳令人形的情報！+我看一下！
13618<-ID->NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<BIN>99</BIN>:唔……“飼養員的飼養員”說，現在最優先的命令是撤退回S11區的基地，達成了之後就原地待命……+……大概是這樣。
13619<-ID->NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<BIN>99</BIN>:真的好好完成任務了呢，MP7，希望她已經逃出去了。+那麼現在，我們就是這裡最後一批還留在感染區的梯隊了……
13620<-ID->NPC-Kalin(0)<Speaker>格琳娜</Speaker>||<BIN>99</BIN>:……是，我馬上去傳達整裝出發的命令！+那個……雖然我知道現在高興還太早了，但是……
13621<-ID->NPC-Kalin(7)<Speaker>格琳娜</Speaker>||<BIN>99</BIN>:等我們回到S11區……等我們再次把大家聚集在一起後……+總有一天，我們一定會反擊的，對吧？
13622<-ID->NPC-Kalin(0)<Speaker>格琳娜</Speaker>||<BIN>99</BIN><黑屏1>:……嗯！我也相信，現在，讓我們快出發吧！
13623<-ID->()||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Empty</BGM>:……+……同一時間，格里芬安全承包商總部。
13624<-ID->軍方人類代表()||<BIN>121</BIN><黑屏2><BGM>BGM_Truth</BGM>:伯魯澤維奇‧克魯格。+我現在以涉嫌非法運輸武器，以及違規改造民用人形等罪刑，正式逮捕你。+你有權保持沈默……
13625<-ID->克魯格()||:即使沉默是我唯一的權力，我知道。
13626<-ID->軍方人類代表()||:克魯格先生，我是在確保你會配合我們，以便這項流程能順利進行下去。
13627<-ID->克魯格()||<黑屏1>:……沒錯。+一切只是個流程，這再順利不過了。+所以別太緊張了，年輕人，我只是個罪犯，不是敵人。
13628<-ID->()||<黑屏2><BIN>9</BIN><SE1>Rope</SE1>:……克魯格站起身來。
13629<-ID->克魯格()||<BIN>9</BIN>:省掉那些程序吧，我比你熟悉多了。
13630<-ID->克魯格()||<BIN>9</BIN><黑屏1>:非法運輸武器，和違規改造民用人形……+這個罪名還不錯。+服役時我跟卡特說過將來我唯獨不想被冠上恐怖分子的名義被審判。+他是個狡猾的老混蛋，但至少從不食言。
