()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:呯呯呯！
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:啊……要死要死要死！+我一个人怎么打得过这么多帕拉蒂斯啊！
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:滴。
P90(0)<Speaker>P90</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>喂喂？听得到吗？</color>+<color=#00CCFF>这里是援军——</color>
VSK(0)<Speaker>VSK94</Speaker><通讯框>||:<color=#00CCFF>……SIGMCX，我们来协助你了。</color>
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:喔！来得正好！+有带指挥官的口信吗？
VSK(0)<Speaker>VSK94</Speaker><通讯框>||:<color=#00CCFF>马上赶到目标地点与你汇合。</color>+<color=#00CCFF>任务目标很简单——不必压制，全部歼灭。</color>
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:说的倒是简单……
P90(0)<Speaker>P90</Speaker><通讯框>||:<color=#00CCFF>包在我身上~天佑指挥官，常胜利，沐荣光！</color>
()<Speaker>SIG MCX&VSK94</Speaker>||:不准学这句！
