()||<BIN>34</BIN>:……滴。
AN94(0)<Speaker>AN94</Speaker>||<BGM>BGM_Sneak</BGM><BIN>34</BIN>:我收到了AK12的明碼通訊請求，要接入嗎？
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:喂，我不是說過有傘病毒時不要做這種蠢事嗎……
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:所有心智空間用於防禦的話，我可以在【傘】病毒干擾下接通10秒。
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:做吧。
AK12(0)<Speaker>AK12</Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:安潔，你在聽嗎？
AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:我在，你應該接到任務了吧，去β點集合。
AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:雖然現在說有點不合時宜，不過嘛……+那個……我們好像遇到麻煩了啊。
AK12(0)<Speaker>AR15</Speaker>;NPC-Ange(0)||<BIN>34</BIN><SE1>Gunfight</SE1>:別磨蹭了！+安潔，我們正在被鐵血的主力部隊壓制，需要支援！
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:……呲，呲。
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:別暴露太久了，堅持到我們過去！
NPC-Ange(0)<Speaker>AR15</Speaker>||<BIN>34</BIN>:安潔，另外——
NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:……呲，呲。
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:還有M4A1的情況怎麼樣了？+AR15？
()||<BIN>34</BIN>:……
NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:AR15？AK12？+嘖，該死的……
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:唔……安潔……+抱歉，這是我的極限了。+我……我應該可以做得更好的……
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:作為戰鬥特化型你已經做得很好了，AK12她們正在被鐵血主力壓制。
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:命令，是要去營救她們嗎？
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:沒錯，準備讓AK12欠你人情吧。
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:這和人情沒關係，不讓她受到傷害是我的職責。
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN><黑点1>:（聳肩）隨便怎麼想吧，你開心就行了。
AN94(0)<Speaker>AN94</Speaker>||<BIN>10</BIN><黑点2>:我在剛才的掃描中看到了區域內敵人的數據，這是忤逆小隊身處的戰場地圖。+我們前進的路上會有很多敵人，而包圍AK12的鐵血裡更是有個鐵血精英頭目。
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>9</BIN>:劊子手……如今連這樣的鐵血單位都強到另一種境界了嗎？
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>9</BIN>:總之，要突破過去不是件容易的事。
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>9</BIN>:那……你希望我放棄AK12她們嗎？
AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>9</BIN>:只要是您的命令，我一定會全力以赴。
AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>9</BIN><黑屏1>:那就出發吧！她們還在等著我們！
