()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:……+……滴。
干擾者()<Speaker>干擾者</Speaker>||<BGM>BGM_Boss</BGM>:……M4A1，我就知道你會打過來。
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:……+告訴我……M16的下落。
BOSS-4(0)<Speaker>干擾者</Speaker><通讯框>||<BIN>5</BIN><黑屏2>:說實話，我不知道她在哪裡，我也不在乎。
M4A1(3)<Speaker>M4A1</Speaker>;BOSS-4(0)||:那你們的目標到底是什麼？+格里芬已經進入你的轄區，你到現在還沒有像樣的反擊行動！
M4A1(0);BOSS-4(0)<Speaker>干擾者</Speaker>||:哦？沒想到坐著不動也能嚇到你們呢。+好吧，那我就告訴你，我接受的命令……
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:……
M4A1(0);BOSS-4(0)<Speaker>干擾者</Speaker>||:嘻嘻♪其實沒什麼啊，就是打發時間罷了。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:打發時間？這就是你的命令？
M4A1(0);BOSS-4(0)<Speaker>干擾者</Speaker>||:有什麼奇怪的？如果主腦願意，我可以坐下來和你們開心地喝茶。+但是前提是……你能到達我的茶室來。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:這不難，干擾者。
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:格里芬追蹤到先遣小隊留下的座標，我們馬上就能見面了。
BOSS-4(0)<Speaker>干擾者</Speaker><通讯框>||:嘻嘻♪那我就盡情期待了。
