()||<BIN>2</BIN><BGM>BGM_Empty</BGM><Night><SE1>Battlefield</SE1>:……戰鬥進入尾聲。
HunterElite(0)<Speaker>獵手</Speaker>||:我已經……無法行動了……+銜尾蛇……說好的增援呢！哨站馬上要守不住了！
Weaver(0)<Speaker>銜尾蛇</Speaker><通讯框>;HunterElite(0)||:就連你都知道，獵手，她們的目標是你。+想保護好干擾器，最簡單的辦法就不言而喻了。
Weaver(0);HunterElite(0)<Speaker>獵手</Speaker>||<BGM>BGM_Boss</BGM>:銜尾蛇……+你……從一開始就知道了嗎，從一開始你就打算拋棄我嗎！
Weaver(0)<Speaker>銜尾蛇</Speaker>;HunterElite(0)||:獵手，你知道我是怎樣誕生的嗎？+與上千個AI對手在電子棋局中反復較量，並作為唯一的倖存者活到最後。+在我看來，你此刻作為棋子的價值，就是被拋棄。
Weaver(0);HunterElite(0)<Speaker>獵手</Speaker>||:戰爭不是下棋，你忽略了太多問題，銜尾蛇！你很快就會後悔的！
Weaver(0)<Speaker>銜尾蛇</Speaker>;HunterElite(0)||<黑屏1>:我恰恰是考慮到了所有的問題，從而得到我最想要的結果。+……只是這個結果，你們恐怕並不想看到。
銜尾蛇()<Speaker>銜尾蛇</Speaker>||<BIN>9</BIN><黑屏2>:2612-1192a2516-31913，執行格式化命令。
()||:正在重啟主機，正在進行心智備份，無法連接網路，心智備份無法完成，正在轉向本存取，格式化完成。
銜尾蛇()<Speaker>銜尾蛇</Speaker>||:就這樣沉睡下去吧，獵手，我已經不需要你了。
()||<BGM>BGM_NightOPS</BGM>:……10分鐘後。+404小隊抵達獵手所在座標，開始檢查情況。
HK416(0)<Speaker>HK416</Speaker>||<黑屏2><BIN>2</BIN><Night>:喚醒失敗，獵手沒有任何反應。
UMP9(2)<Speaker>UMP9</Speaker>||:都怪你啦G11，人命關天的大事，為什麼不打腿呢。
G11(0)<Speaker>G11</Speaker>||:怪我嘍，開槍的又不是你們……
UMP45(2)<Speaker>UMP45</Speaker>||:不是G11的錯，一定是對方頭目把它滅口了。
UMP9(4)<Speaker>UMP9</Speaker>;UMP45(2)||:該死，好不容易解決掉獵手，結果什麼情報都沒拿到！
UMP9(4);G11(2)<Speaker>G11</Speaker>||:白跑一趟了，要回家嗎？
HK416(0)<Speaker>HK416</Speaker>;G11(2)||<SE1>Battlefield</SE1>:隨便去哪，儘快離開這裡……+聽，新的敵軍已經找上我們了。
HK416(0);UMP45(2)<Speaker>UMP45</Speaker>||:也許……找的不一定是我們呢？
HK416(0)<Speaker>HK416</Speaker>;UMP45(2)||:誒？你說什麼？
HK416(0);UMP45(2)<Speaker>UMP45</Speaker>||<黑屏1>:我先離開一下，HK416，帶大家躲開圍剿隊，到哨站對面集合。+沒准……事情還有轉機。
