=()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:……404小隊整備室。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:檢查裝備，帶好彈藥，準備出發。
HK416Mod(0)<Speaker>HK416</Speaker>||:怎麼了，感覺你心事重重的，不像以前胸有成竹的樣子啊。
UMP9Mod(0)<Speaker>UMP9</Speaker>||:那麼多人形的安危都握在我們的手裡，就算是45姐也會緊張起來吧……
HK416Mod(0)<Speaker>HK416</Speaker>||:人形還會緊張？
UMP9Mod(0)<Speaker>UMP9</Speaker>||:你看G11不就緊張得都快站不住了？
G11(0)<Speaker>G11</Speaker>||:我、我……我能不能不去啊……+聽著就感覺……是去送死啊。
HK416Mod(0)<Speaker>HK416</Speaker>||:送死你也得跟著一起去，反正要是沒了我們你靠自己也活不下來。
G11(0)<Speaker>G11</Speaker>||:不行我就加入格里芬好了，只要有個角落讓我睡覺就行……
HK416Mod(0)<Speaker>HK416</Speaker>||:想得美！快給我起來！
UMP9Mod(0)<Speaker>UMP9</Speaker>||:不過45姐，真的不要緊嗎……？感覺你和平時比不太一樣。
HK416Mod(0)<Speaker>HK416</Speaker>||:一定是剛才從M4還是丹德萊的心智中看到了什麼不該看的東西。+喂，45，我剛才已經提醒過你了。+就算你想完成什麼目的，也先看看你周圍的夥伴，你的心智可不是像G11一樣只有那麼點容量才對。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:哼，輪不到你教訓我。+在說這些廢話前，作戰路線和地圖都同步完畢了嗎？
UMP9Mod(0)<Speaker>UMP9</Speaker>||:都OK啦45姐！+我們筆直開車到隔離牆下方的通風入口，然後從管道進入沿著內側靠近剛才「忤逆」小隊發送的最終坐標。+如果那邊真的有友軍的話，接上她們然後進入隔離牆大門的控制室，使用她們所說的啟動權限就可以打開大門讓指揮官她們進來啦。
HK416Mod(0)<Speaker>HK416</Speaker>||:聽起來真是易如反掌。
UMP45Mod(0)<Speaker>UMP45</Speaker>||:前提是沒有敵人的話。+如果那個信號是個陷阱，那我們有一萬種可能性被打成篩子。+如果是鐵血這種老朋友倒還好，如果被帕拉蒂斯埋伏就直接考慮遺言吧。
G11(0)<Speaker>G11</Speaker>||:嗚誒誒，那我們能不能商量下，一會我在車上等，你們確定沒問題我再上去？
HK416Mod(0)<Speaker>HK416</Speaker>||:你再廢話就把你綁在槍上當盾牌！+好了，就算擔心這些也沒用，我們得趕在指揮官她們被炮彈淹沒前把大門的問題解決了。+剩下就指望那支AR小隊能和我們一樣靠譜吧。
UMP9Mod(0)<Speaker>UMP9</Speaker>||:她們那邊對岸防炮的爭奪一定會很激烈……真的沒問題？
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏1>:不管有沒有問題都不是我們該考慮的了，準備完畢的話所有人出發！
