()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………軍方宴會中。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:我坐在這邊沒問題吧？+抱歉，我腿腳不太方便，喜歡坐在離出口近的地方，希望你們能理解。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:你也太見外了。+就算是我很想一槍斃了你，也不會選在有那麼多媒體記者在樓下的今天。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:哈哈哈，卡特你講笑話的水準真是一如既往得糟糕，看看你下屬的表情就知道了，對吧這位小哥？
NPC-Carter(0);NPC-Yegor(0)<Speaker>葉戈爾上尉</Speaker>||:………………
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Yegor(0)||:我覺得我說的不是笑話，看看我下屬的表情就知道了。
NPC-Carter(0);NPC-Yegor(0)<Speaker>葉戈爾上尉</Speaker>||:………………
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:隨便吧，至少它沒達到效果。哎呀克魯格先生，能見到你真是太好了。+由卡特主導的軍隊和承包商的聯合行動，就算用我不太靈活的腳來思考，都知道除了你也不會有別的人選了吧。+不過話說回來，卡特能搞那麼大動靜真是全靠了你呢。+當時要不是你把萊柯送出去，恐怕……現在我們幾個就只能蹲在養老院裡打牌了吧。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:…………
NPC-Kyruger(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:啊……這位就是最近大出風頭的指揮官先生嗎？+帕斯卡對你的評價可一點都不低，她這個人很挑剔，你要珍惜這份……榮譽？應該可以這麼說吧。+……哦抱歉，我還沒介紹自己對嗎？我以為克魯格先生在你入職前就隆重介紹過了。 +我是“重要行動原型機械製造公司”的首席執行官，也就是大家俗稱的【IOP】公司的……老闆。+你手下的人形基本都是從我們公司的生產線上製造出來的，哦當然有一小部分不是……哈哈不過那不重要。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:哈威爾先生，如果你只是進來介紹自己的……
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:當然不啦，眼下曾幫我創建公司的大恩人，和不停地向我發來訂單的大主顧。+他們聚在一起想要幹票大事，身為供貨方的我怎麼能不來祝賀恭喜呢？
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:如果你想打聽行動的細節，那可是軍事機密。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:據我所知在餐桌上是不存在什麼機密的，特別是在有好酒的前提下。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:我已經戒酒很多年了。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:那你的人生真是損失太多樂趣了。不過也難怪，將軍是個實用主義者，一貫看事情是重視結果的。+沒錯，一個人活著，過程有趣固然重要，但如果結果不好的話那就等於是白活了。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:所以？你想說什麼。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:如果你們想要的結果是幹掉鐵血，做這種什麼聯合演習的事實在太多此一舉了。+哦原諒我說得很直白，我的意思是要認真對付鐵血，克魯格先生完全可以一個人解決，對吧？+那麼重點就在於，要麼就是有人喜歡無聊到想搞事情，要麼就是對付鐵血根本就不是某些人想要的結果。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Havel(0)||:…………
()||:…………卡特看了一眼克魯格。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:和格里芬公司合作是為了試驗往後更好的聯合行動模式，哈威爾先生，你再胡言亂語我可就要以威脅國家安全罪逮捕你了。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:你還是改不了喜歡威脅人的壞毛病啊卡特，你就是個管後勤的，唬不了我。抓我這種事還是讓安全局的人去考慮吧。+再說我是專門來支持你們的行動啊，有仗打就有大票的訂單，我高興都來不及呢。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Havel(0)||:…………
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:好了好了，到此為止，難的來一趟我可要和樓底下那些媒體大亨們套套近乎，我也知道你們看見我就吃不下飯。+那麼，我告辭了。
NPC-Carter(0);NPC-Yegor(0)<Speaker></Speaker>||:……葉戈爾立刻擋住了哈威爾的去路。
NPC-Carter(0)<Speaker>卡特</Speaker>;NPC-Yegor(0)||:上尉，讓他走吧，我不想搞砸這個美好的宴席。
NPC-Carter(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||<黑屏1>:真是不錯啊，這個時代有如此聽話的年輕人可不多了。+希望你能活久一點，有機會再見。
()||<黑屏2>:…………哈威爾離開了。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>||:別在意他，指揮官，那是個怪老頭。+只要不在乎他說的那些胡言亂語，他提供的產品還是很可靠的。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:我想他還在記恨你把萊柯帶走的事。+憑他的視野高度根本無法理解……我們的嘗試能為未來的技術奠定下多麼扎實的基礎。+等他嘗到甜頭了就會感謝我們了，克魯格。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||:我明白，都是過去的事了，再去考慮也沒什麼意義。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>卡特</Speaker>||:那就好，讓我們正式開始主題吧，接下來的行動我們來對接一下大致的方向。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Carter(0)||<黑屏1>:好的，我們十分期待。
克魯格()<Speaker>克魯格</Speaker>||<BIN>9</BIN><黑屏1><黑屏2>:消滅鐵血不是想要的結果……+哈威爾，這究竟是什麼意思……
