 ()||<BGM>BGM_Sneak</BGM><BIN>3</BIN><Night>:……格里芬梯隊到達後方據點。
M1928A1(0)<Speaker>M1928A1</Speaker>||:幹得漂亮，BOSS，接下來的事，讓我和本次的參謀商量一下。+1911，聽到了嗎？
M1911(0)<Speaker>M1911</Speaker><通讯框>;M1928A1(0)||:比預估的時間快很多啊，看來指揮官迫不及待地想見到我呢。
M1911(0);M1928A1(0)<Speaker>M1928A1</Speaker>||:少來了。我要在這裡安排人手，你給點建議吧。
M1911(0)<Speaker>M1911</Speaker>;M1928A1(0)||:這個據點主要是偵察作用，最好交給一名手槍人形。
M1911(0);M1928A1(0)<Speaker>M1928A1</Speaker>||:手槍的話，除了你之外的合適人選，都有誰啊……
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:讓我來吧，湯姆森小姐！我一定做得比1911還好！
M9(0);M1928A1(0)<Speaker>M1928A1</Speaker>||:氣勢不錯，格里芬就需要你這麼積極的人形。
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:哼哼，我會抓住一切的機會，證明自己比某個老女人更優秀！
M9(0)<Speaker>M1911</Speaker>;M1928A1(0)||:M9，我全都聽到了哦……
M9(0);M1928A1(0)<Speaker>M1928A1</Speaker>||:總之偵察任務就讓你來了，M9，然後還得找個人形保護你……
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:沒那個必要，我們人手本來就不夠吧？+光搞偵察我一個人也沒問題啦，不要小看我的逃脫技巧哦。
M9(0);M1928A1(0)<Speaker>M1928A1</Speaker>||:太逞強可不好啊，M9，戰場可是瞬息萬變的。
M9(0)<Speaker>M9</Speaker>;M1928A1(0)||:我跟指揮官對付過成堆的鐵血呢，你們就放心吧。
M9(0);M1928A1(0)<Speaker>M1928A1</Speaker>||:那好吧，你小心點行動，我們繼續前進。
