()||<BIN>10</BIN>:
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:……+滴。+通訊接通。
()<Speaker>指揮官</Speaker>||:<color=#00CCFF>SIG？你在崗哨位置嗎？</color>
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:對呀對呀，我正在警戒呢。
()<Speaker>指揮官</Speaker>||:<color=#00CCFF>很好，我現在需要你去攔截準備突圍的小股帕拉蒂斯部隊。</color>
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:帕拉蒂斯部隊？我？真的嗎？
()<Speaker>指揮官</Speaker>||:<color=#00CCFF>是一支精銳的前鋒小隊。</color>+<color=#00CCFF>多半是小規模的突圍嘗試。</color>+<color=#00CCFF>我們大部隊不能離開主要防線位置。</color>+<color=#00CCFF>就交給你了。</color>
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:哦~好嘞，我知道了。
()<Speaker>指揮官</Speaker>||:<color=#00CCFF>作戰途中可能會遇到需要支援的情況。</color>+<color=#00CCFF>到時我會盡可能協助你的，不必擔心。</color>
SIGMCX(0)<Speaker>SIGMCX</Speaker>||:OK！
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:……+滴。+通訊掛斷。
