()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:戰場上。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>||<BGM>BGM_War</BGM><BIN>99</BIN><黑屏2>:<color=#00CCFF>注意你的右邊。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>||:收到。
()<Speaker></Speaker>||:一隊士兵匆匆跑過通道，誰也沒有注意到躲在轉角陰影裡的我。+我和K互相觀察著對方的位置，幫助對方躲開軍方的視野，借助著掩蔽物繼續前進。
NPC-Yegor(3)<Speaker>軍方軍官</Speaker>||:重新組織士兵和自律單位！不要被敵人分割，以會合為第一目標！
()<Speaker></Speaker>||<SE2>Alarm</SE2>:進入基地的軍方部隊的編制已經被完全打散，但遠處的槍聲依然沒有停止。剩餘的人形不斷地對殘餘的小分隊進行干擾，試圖拖慢他們和其他分隊會合的速度。
NPC-Kalin(4)<Speaker>格琳娜</Speaker><通讯框>||<SE2>Gunfight</SE2><SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指揮官，聽得到嗎？</color>
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:很清楚。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||<SE2>Gunfight</SE2>:<color=#00CCFF>我們的梯隊和軍方的部隊正在近距離交火，無法重新集合，但他們短時間應該攻不進來。</color>+<color=#00CCFF>我們剩下的人形不多了，沒法進行強攻，只能繼續想辦法拖住他們……我們拖不了太久的。</color>
NPC-Kalin(4)<Speaker>指揮官</Speaker>||:收到，我們會盡快。
NPC-Jason(1)<Speaker>K</Speaker><通讯框>;NPC-Kalin(4)||:<color=#00CCFF>指揮官，你遇到麻煩了。</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>;NPC-Kalin(4)||:看到了。這些傢伙在閘口的位置設立了臨時指揮所，位置真噁心。
NPC-Jason(1)<Speaker>K</Speaker>;NPC-Kalin(4)||:<color=#00CCFF>對方的軍官一定會想到你們狗急跳牆的方案。</color>+<color=#00CCFF>怎麼辦，想要到達通海閥就一定要毀掉他們的指揮所。</color>+<color=#00CCFF>要讓你的人形再發動一次進攻嗎？</color>
NPC-Jason(1)<Speaker>指揮官</Speaker>;NPC-Kalin(4)||:雖然剩下的士兵不多，但我們的人形也所剩無幾了。+嘖……格琳娜，能聽到嗎？
NPC-Jason(1);NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:<color=#00CCFF>能聽到，指揮官請講。</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>指揮官</Speaker>||:我在試圖滲透進軍方的駐守點，讓剩下的梯隊用火力壓制他們，不要進攻只要吸引他們注意力就行。+現在馬上開火，我會趁那些士兵注意力轉移的機會想辦法穿過去。
NPC-Jason(1);NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:<color=#00CCFF>但是指揮官你……</color>
NPC-Jason(1);NPC-Kalin(4)<Speaker>指揮官</Speaker>||:格琳娜，執行。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:<color=#00CCFF>是，馬上開始。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1><SE2>Gunfight</SE2>:槍聲立即激烈起來，士兵和自律單位緊張地朝交火點跑去。+流彈不斷越過防線打在離我不遠的牆壁上，聲音聽起來詭異又有點滑稽。
