帕斯卡()<Speaker>帕斯卡</Speaker>||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:你真的……現在就要出發嗎？
M4A1()<Speaker>M4A1</Speaker>||:嗯。
帕斯卡()<Speaker>帕斯卡</Speaker>||:你的機能還沒有徹底調試完畢，現在外面局勢很危險……
M4A1()<Speaker>M4A1</Speaker>||:你知道我非去不可。+如果一定要阻止我，就關閉我的連線，停止我的機能。
帕斯卡()<Speaker>帕斯卡</Speaker>||:……我知道了，你的想法不會改變的。+樓頂有我的私人直升機，指揮官會給你戰區的定位……
M4A1()<Speaker>M4A1</Speaker>||:謝謝你……帕斯卡小姐。
()||<黑屏1>:…………戰術人形M4A1離開了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><黑屏2>:果然解開限制後，她的心智開始變化了……+不過，現在不是想這個的時候了。
NPC-Persica(0)<Speaker></Speaker>||:…………帕斯卡開始連線。
NPC-Persica(0)<Speaker>系統提示</Speaker>||:……連線成功。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:…………
NPC-Persica(0)<Speaker>SoundOnly</Speaker>||:真是稀奇啊，帕斯卡大小姐竟然會來聯繫我。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:不要裝蒜了，鐵血數據庫中的信標是你留下的吧。+別躲著我了，我知道一定是你，安潔莉婭。
NPC-Persica(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:哎呀……+真是懷念的名字啊。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:你又換代號了？
NPC-Persica(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:就這個名字吧，我還挺喜歡的，尤其從你口中說出來。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:……別廢話了，信標到底是不是你留下的。
NPC-Persica(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:哈哈，總算是被發現了啊。
NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||:既然你知道地址，想必你早就去過了吧。
