()||<BIN>7</BIN><BGM>BGM_Sneak</BGM>:…………滴。
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:呼……總算過來啦。+吃了點東西，身體也暖和起來啦……+那這裡就是赫麗安說的避難所嗎？
RO635(3)<Speaker>RO635</Speaker>||:應該沒錯了，不過你們看到……+呃……戰術人形M1887了嗎？
M16(2)<Speaker>M16A1</Speaker>||:沒有，這裡確實有人形來過，但數據顯示那是三小時前的事了。+沒辦法，只能聯繫赫麗安了。
()||:…………滴。
M16(3)<Speaker>M16A1</Speaker>||:呼叫格里芬總部。+……是赫麗安小姐嗎？
計量官()<Speaker>計量官</Speaker>||<BGM>BGM_Empty</BGM>:很遺憾，你打錯了……+……格里芬的各位。
RO635(4)<Speaker>RO635</Speaker>||:……？！
RO635(5)<Speaker>RO635</Speaker>||:你是誰？！
BOSS-7(0)<Speaker>計量官</Speaker><通讯框>||<BGM>BGM_Boss</BGM>:鐵血工造SP21 “Gager”，通稱“計量官”。+AR小組，以及全部在場的格里芬人形，你們不可能逃出這裡的。+就在通訊接通的這一刻，你們的存在已經被完全暴露了。
RO635(0)<Speaker>RO635</Speaker>;BOSS-7(0)||:…………
RO635(4)<Speaker>RO635</Speaker>;BOSS-7(0)||:（原來……現在才暴露嗎？）
BOSS-7(0)<Speaker>計量官</Speaker>||<黑屏1>:我為你們的勇氣和求生意志感到欽佩，不過很快就要結束了。+敬請享受最後的時光吧，鐵血馬上就會徹底包圍你們……+……所有希望很快就會消散殆盡。
()||<黑屏2><BIN>34</BIN>:…………同一時間，鐵血指揮室。
BOSS-9(0)<Speaker>建築師</Speaker>||:哇！好帥氣的發言啊，計量官！+就是這種氣勢！讓那些半調子見識下什麼叫專業的戰鬥人形！
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:（嘆氣）不務正業的傢伙，你也算一個吧……
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:喂喂！我可是在好好地測試炮台啊！+你看看，外面那一長列炮台都是我裝的，齊發時一定很酷吧？
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:就為了這個？你就把炮台連著造到一起？+這樣下去，就算是我，也沒法保證後續的資源能跟得上啊……
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:沒關係，這個樣子才算得上整齊劃一嘛！+再說，我好歹是你的長官啊！輔佐我不就是你的職責嘛！
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:是，那麼作為副官，我現在要出門消滅幾隻蟲子。
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:誒？一定要去嗎？放著不管也沒問題吧？
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:那幾隻蟲子裡，包括AR小組剩餘的三人。
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:誒？？！那我也要去啊！
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:你出去了誰來照看基地？再說，基地是她們離開這裡的必經之路。+你安心守在這裡，一旦發現任何格里芬的行蹤，就立刻通知我。
BOSS-9(0)<Speaker>建築師</Speaker>||<黑屏1>:好好！快點去吧，我會好好看家的！
