()||<BIN>98</BIN><BGM>BGM_Empty</BGM>:……作戰結束。
NPC-Kalin(4)<Speaker>格琳娜</Speaker>||:終於……幹掉它了嗎？+快去檢查對方的遺體！
NPC-Kalin(4)<Speaker>格里芬人形A</Speaker>||:指揮官！格琳娜小姐！那個屍體只是個傀儡！
NPC-Kalin(2)<Speaker>格琳娜</Speaker>||:誒！那麼強的敵人，居然還只是個傀儡？！+那麼……真正的代理人，會在哪兒呢……
()||<BIN>98</BIN><震屏><SE1>Explode</SE1><黑屏1>:……砰！
()||<BIN>9</BIN><BGM>BGM_stage10</BGM><黑屏2><火花>:……身後突然傳來震耳欲聾的爆炸聲！+……火雨和飛煙，還有旋轉著的黑暗，墜落。+…………+……
格琳娜()<Speaker>格琳娜</Speaker>||:指揮官，你在哪裡！+回答我，指揮官——！+大家快滅火！還有找到指揮官！
()||:……+……自己跌落到了地下，整個指揮部都在燃燒。+……傳來一陣優雅而清脆的腳步聲。
？？()<Speaker>？？</Speaker>||:人類真是脆弱……+這種程度的跌落，就已經無法行動了。
()||:……黑暗中聽到了那個人形的聲音，連忙抓起防身的手槍。
()||:……噗！+……胸口被重物緊緊壓住，呼吸困難。
代理人()<Speaker>代理人</Speaker>||:抱歉，這是我的疏忽。+不過你的反應，是不是有點驚訝過頭了呢？
()||:……煙塵開始消散，視覺漸漸恢復。
代理人()<Speaker>代理人</Speaker>||<黑屏1>:畢竟我說過……+我會親手埋葬您的……
代理人()<Speaker>代理人</Speaker>||<BIN>123</BIN><睁眼>:
()||:……手槍……找不到了。
代理人()<Speaker>代理人</Speaker>||:人類終有一死，而我總是樂意為此效勞。+兩年前，也有一位格里芬的指揮這樣與我對峙過。+你和她究竟誰更狼狽呢？抱歉，我很難評價，總之結果都是一樣……
()||:……試圖掙扎一下，但鐵血人形的力量遠超過自己的想象。
代理人()<Speaker>代理人</Speaker>||:抱歉，弄疼您了嗎？不過我已經很克制了，如果光靠重力放在您的胸口，您的胸腔顯然會承受不住的。+而我喜歡慢一點……慢一點地欣賞……
()||<震屏><BIN>122</BIN>:……胸口的壓迫越來越沉重，呼吸變得困難。
代理人()<Speaker>代理人</Speaker>||:啊……+這就是人類，這就是死亡……
()||:……已經……無法呼吸了。
代理人()<Speaker>代理人</Speaker>||:指揮官大人……+你的臉，越來越漂亮了……+這就是……最後的……+你留在世上最後的印記了……
()||:……到此……為止了嗎？
()||<黑屏1>:……滴。
？？()<Speaker>？？</Speaker>||<黑屏2><BIN>9</BIN>:住手！代理人！+我們可以談談！
BOSS-8(0)<Speaker>代理人</Speaker>()||:……！+這個聲音……
BOSS-8(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:很懷念吧？你可是個失敗的謀殺者呢。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:……為什麼，你還活著。
BOSS-8(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:這不重要，重要的是，這位指揮官也必須活著！
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:為什麼？
BOSS-8(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:你們……想見到M4A1嗎？
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:……
BOSS-8(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:我有辦法，讓你們見一面。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:我會相信你嗎？
BOSS-8(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:你必須相信我！+鐵血可以使用的部隊已經都被殲滅了，你要是想要滿足你的主腦的願望的話，就讓這位指揮官活下來。+我會……我會讓她與你見面。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:…………+為了這個人類？
BOSS-8(0);NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:我們都是人類，我有這麼做的理由。
BOSS-8(0)<Speaker>代理人</Speaker>;NPC-Ange(0)||:我無法理解人類，也對此沒有興趣。+我只想趁著末日來臨前好好享受個假期……+不過好像……連這種小要求都奢望不成了。
BOSS-8(0);NPC-Ange(0)||:
()||<黑屏1><关闭火花>:……呼——+……胸口突然被鬆開。
()||<黑屏2>:…………+……
代理人()<Speaker>代理人</Speaker>||<黑屏1>:無論人形還是人類，工作給了我們活著的理由……+……對嗎？格里芬的指揮官大人？
