()||<BIN>10</BIN>:【提示】請認真閱讀接下來的劇情教學'以順利進行遊戲。
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:睡個好覺吧，菲爾……
TMP(0)<Speaker>TMP</Speaker>||:又可以解開新的封印了。
K2(0)<Speaker>K2</Speaker>||:克莉爾，你的左手……+到底是怎麼回事？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:這個……+是這個城市的精靈們對我的懲罰。
Thunder50(0)<Speaker>雷電</Speaker>||:懲罰？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:口袋城的居民越消沉和失落，我的左手就會被腐蝕得越厲害。
M950A(0)<Speaker>M950A</Speaker>||:就像……菲爾那樣？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:是的，換句話說，就是菲爾寄宿在我身上的部分。
AEK999(0)<Speaker>AEK999</Speaker>||:原來菲爾和你……並不是同一個人嗎？
CLEAR(0)<Speaker>克莉爾</Speaker><Position>0,100</Position>||:我不知道，但我覺得我們是完全兩個靈魂。+只是不知道有沒有機會再見她……+好啦，閒聊到此為止，我們繼續前進吧！
()||:【提示】前方的戰鬥將與通常戰鬥完全不同，請閱讀以下說明。+首先，請提前關閉【自動技能】指令，並打開遊戲設置的【音樂】開關，以免出現突發狀況。+在音樂標記墜落到水平線的瞬間，準確點擊對應的人形技能圖標，以獲得對應的MAX同步率。+否則，人形將受到一定傷害。+在音樂播放結束前保證您的人形沒有全部被擊敗，即可獲得勝利。+最後提示，請提前關閉【自動技能】指令，並打開遊戲【音樂】以免出現突發狀況。
