SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Empty</BGM><BIN>4</BIN>:M4……M16還是沒有消息嗎？
M4A1(2)<Speaker>M4A1</Speaker>;SOPII(2)||:M16……
M4A1(2);AR15(2)<Speaker>AR15</Speaker>||:……等等，有人發佈了公共廣播！
M4A1(3)<Speaker>M4A1</Speaker>;AR15(2)||<黑屏1>:……！
BOSS-4(0)<Speaker>干擾者</Speaker><通讯框>||<黑屏2><BIN>9</BIN><BGM>BGM_Boss</BGM>:初次見面，各位。+還在等同伴的消息嗎？或許把目光放在眼前比較好。
AR15(0)<Speaker>AR15</Speaker>;BOSS-4(0)||:干擾者……沒想到這麼快就會出場呢。
AR15(0);BOSS-4(0)<Speaker>干擾者</Speaker>||:看到客人來到我的領地，不招待一下未免太失禮了。+首先是祝賀你們，上次作戰中成功切斷了我的增援部隊。+不過這只是其中一條補給線，對我而言連冒犯都稱不上。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:這只是個開始，鐵血……
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:接下來，我們會針對你們的防禦工事，準備好投降吧。
BOSS-4(0)<Speaker>干擾者</Speaker>||:恐怕主腦不會同意我這麼做，而我很樂意迎接你們。+請通知你們的指揮官，是時候進入正式開幕了。
M4A1(0)<Speaker>M4A1</Speaker>||:不必了，干擾者。+……我們已經到了。+指揮官，請下令作戰吧。
