()||<BIN>6</BIN><BGM>BGM_Sneak</BGM>:…………
RO635(0)<Speaker>RO635</Speaker>||:各位，我們就要到通訊站了！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:喂！你們看那個！
RO635(4)<Speaker>RO635</Speaker>||:……！
()||<SE1>Explode</SE1>:…………轟！
M16(3)<Speaker>M16A1</Speaker>||:喂喂，那是【木星】吧！+居然這邊也有？！
()||<SE1>Explode</SE1>:……轟！
RO635(4)<Speaker>RO635</Speaker>||:而且還不只有一架……+我們可能剛好掉在了不太走運的區域。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:喂喂！炮擊把通訊站炸毀了！+這下怎麼辦？！
RO635(5)<Speaker>RO635</Speaker>||:只能改變行動計劃了，繞開這裡繼續前進！+提高警惕，看來鐵血已經發現我們了！
M16(3)<Speaker>M16A1</Speaker>||:我們一路上這麼小心，怎麼會被發現呢？
RO635(4)<Speaker>RO635</Speaker>||:不知道，也許這裡的鐵血頭目非同一般。
M16(3)<Speaker>M16A1</Speaker>||:……夢想家那樣的人形，還不只一個嗎？
RO635(0)<Speaker>RO635</Speaker>||:先別擔心，既然鐵血部隊還沒包圍過來，就說明它們還不知道我們的確切位置。+先改變行動計劃了，繞開這裡繼續前進。
M16(3)<Speaker>M16A1</Speaker>||:我在西邊看到一個樹林，也許先躲到那裡比較安全。
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:沒辦法，只能賭一賭看了……+赫麗安說過，之前有一支運輸機小隊也在這裡被擊墜了。+我們也許能在路上找到物資和倖存者，希望一切能來得及……+在這個深不可測的鐵血人形，徹底發現我們之前……
()||<BGM>BGM_Empty</BGM><BIN>34</BIN><黑屏2>:…………同一時間，鐵血指揮室。
BOSS-9(0)<Speaker>建築師</Speaker>||<BGM>BGM_Boss</BGM>:哈哈，好！我中啦！+中啦！中啦！
計量官()<Speaker>計量官</Speaker>||:大清早的……好吵……
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:怎麼……你中了什麼？
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:喂喂！計量官，你看！+我剛剛打中了那個通訊站哦！
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:…………+所以……你打它做什麼？
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:唔……沒什麼啊。+就是看它的位置很不順眼啊，順便想試試自己的準頭嘛，嘻嘻！
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:真是的……+別把你的強迫症放在這種無聊的地方。+有這個時間，不如去搜索一下格里芬的倖存者。
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:誒？原來還有倖存者嗎？
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:你的炮彈只是擦中了那些運輸機，她們有極大的機率會安全迫降。
BOSS-7(0);BOSS-9(0)<Speaker>建築師</Speaker>||:嗯……既然是你分析的數據……+不過，我們來這裡是為了測試這些大炮吧？我們都出去的話，誰來看守大炮呢？
BOSS-7(0)<Speaker>計量官</Speaker>;BOSS-9(0)||:我會去找到她們的，你只要守著基地……+還有，別再亂開炮了，當心打到自己人。
BOSS-9(0)<Speaker>建築師</Speaker>||<黑屏1>:好啦好啦，我知道了。+那就交給你啦，快點去吧！
