 ()||<BIN>1</BIN><Night><BGM>BGM_Sunshine</BGM>:……到達第二個據點。
MP5(0)<Speaker>MP5</Speaker>||:那個……有人在嗎？
P7(0)<Speaker>P7</Speaker>;MP5(0)||:哎呀，是MP5啊！歡迎歡迎！
P7(0);MP5(0)<Speaker>MP5</Speaker>||:P7小姐，你好。
P7(0)<Speaker>P7</Speaker>;MP5(0)||:你好你好，一路辛苦啦！先坐下來吃些點心吧！
P7(0);MP5(0)<Speaker>MP5</Speaker>||<黑屏1>:啊……謝、謝謝你……
MP5()<Speaker>MP5</Speaker>||<BIN>9</BIN>:噗——！！+這、這個味道是！
P7(0)<Speaker>P7</Speaker>||:哈哈哈，這可是我特製的美味餡餅哦！
MP5(0)<Speaker>MP5</Speaker>||:你不要騙我，我吃過那麼多餡餅，沒有哪個是這種口感的！
P7(0)<Speaker>P7</Speaker>;MP5(0)||:哼哼，這可是我從56-1小姐那裡學來的，這可是她們家鄉的特產啊。+融合了五種堅果的精美點心，只有每年的月圓之夜才能食用哦。
P7(0);MP5(0)<Speaker>MP5</Speaker>||:這五種堅果……都是什麼啊？
P7(0)<Speaker>P7</Speaker>;MP5(0)||:這個嘛……我把配方忘了，只能用五種胡椒拌著乳酪粉湊合一下嘍。
P7(0);MP5(0)<Speaker>MP5</Speaker>||:等等，胡椒根本不是堅果吧！+還有……乳酪粉怎麼會有草莓味呢！
P7(0)<Speaker>P7</Speaker>;MP5(0)||:這個嘛……56-1說要加“冰糖”來著。+我不知道那是什麼，就放了點草莓霜淇淋。+這可是最後一勺霜淇淋呢，為了“招待”你我可是大出血呢！
P7(0);MP5(0)<Speaker>MP5</Speaker>||:嗚……不愧是愛開玩笑的P7啊。+但是……我的工作還是要繼續，不能感情用事。+這是G36小姐給你帶來的補給品，是一大罐冰鎮果汁哦。
P7(0)<Speaker>P7</Speaker>;MP5(0)||:哼，這紅通通的顏色，是番茄汁吧？+G36又想讓我喝那種東西，我才不上當。+沒關係，我這裡有吸管。小小嘗一口，不喜歡再退貨也來得及呢。
P7(0)<Speaker>P7</Speaker>;MP5(0)||<黑屏1>:嗯，那就稍稍吸一口吧……
P7()<Speaker>P7</Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:噗！！這、這個味道是！+咳咳！不是番茄汁，是更可怕的東西！好辣啊！我的喉嚨！
MP5(0)<Speaker>MP5</Speaker>||<BGM>BGM_Boss</BGM>:居然在地上打滾了，看來效果非凡呢。+這是被稱作“毒蛇”的超級辣椒熬制而成的蔬菜汁，只要一小口，就有催淚彈一樣的效果。+G36小姐說過，如果你用亂七八糟的東西來整我，就把這個給你喝。
P7()<Speaker>P7</Speaker>||:居然拿這種東西對付我！你們太過分了，眼淚都止不住啦！
MP5(0)<Speaker>MP5</Speaker>||:G36小姐還說，如果你夠乖就給你冰鎮的番茄汁，現在倒是能網開一面讓你喝哦。
P7()<Speaker>P7</Speaker>||:別想讓我喝那種噁心的東西！我要霜淇淋！草莓霜淇淋！
MP5()<Speaker>MP5</Speaker>||:你忘了嗎？最後一勺霜淇淋，已經被你用來整我了啊。
P7()<Speaker>P7</Speaker>||:嗚……怎麼會這樣……
MP5()<Speaker>MP5</Speaker>||:桌子上這個就是偵察報告吧，任務完成，我告辭了。
P7()<Speaker>P7</Speaker>||:等等！咳……請等一下！MP5！MP5姐姐！+嗚嗚……番、番茄汁……求您了……
