()||<BIN>4</BIN><BGM>BGM_NightOPS</BGM><Night>:…………抵達目標倉庫。
97typeS(0)<Speaker>97霰</Speaker>||:（招手）五六兒！好久不見啦！
56-1type(0)<Speaker>56-1式</Speaker>||:等候多時了，你們路上發生了什麼嗎？
M99(0)<Speaker>M99</Speaker>||:不好意思，路上有不少鐵血，繞道花了些時間。
56-1type(0)<Speaker>56-1式</Speaker>||:沒關係，補給品都打包好了，我們快撤吧。
97typeS(0)<Speaker>97霰</Speaker>||:怎麼就這麼點啊？我以為會塞滿好幾輛車呢。
56-1type(0)<Speaker>56-1式</Speaker>||:之前是有很多的……不過現在都被搬空了，所以才派我來看守最後這些。
M99(0)<Speaker>M99</Speaker>||:誒？鐵血已經窮到來搶我們的補給嗎？
56-1type(0)<Speaker>56-1式</Speaker>||:這個……+其實是附近其他地區的居民來搬的，不過宣傳上的事情，你知道……+要不是【木星】打到了這裡，估計連最後這點都保不住嘍。
M99(0)<Speaker>M99</Speaker>||:這樣啊……+物資都是軍方嚴格分配下來的，絕對不允許任何人亂動，就算是人類也不可以。+剩下的補給，我們一定要保護好啊。
97typeS(0)<Speaker>97霰</Speaker>||<黑屏1>:好，我們就把它們安全送到目的地吧！
