()||<BGM>BGM_Sunshine</BGM><BIN>8</BIN>:……順利通過考核。
NPC-Helian(0)<Speaker>赫麗安</Speaker><通讯框>||:真是令人吃驚……+雖然相信你能完成任務，但是這個效率還是出乎我的預期……
()||<BIN>8</BIN>:……門開了。+格琳小姐走了進來。
NPC-Kalin(1)<Speaker>格琳</Speaker>||:啊！赫麗安小姐，你回來了啊。
NPC-Helian(0)<Speaker>赫麗安</Speaker>;NPC-Kalin(1)||:是啊，如果指望你幫我考核，估計又要延後了。
NPC-Helian(0);NPC-Kalin(3)<Speaker>格琳</Speaker>||:誰說的，指揮官上次的成績，我可是準時提交了！
NPC-Helian(0)<Speaker>赫麗安</Speaker>;NPC-Kalin(3)||:那這次呢？別告訴我你又睡過頭了。
NPC-Helian(0);NPC-Kalin(0)<Speaker>格琳</Speaker>||:這次嘛……嘿嘿……
NPC-Helian(3)<Speaker>赫麗安</Speaker>;NPC-Kalin(0)||:……？你壞笑個什麼？
NPC-Helian(3);NPC-Kalin(0)<Speaker>格琳</Speaker>||:我剛剛和別的同事打聽到了哦——
NPC-Helian(3);NPC-Kalin(1)<Speaker>格琳</Speaker>||:赫麗安小姐……上次缺席的……原·因。
NPC-Helian(2)<Speaker>赫麗安</Speaker>;NPC-Kalin(1)||:……呃！！
NPC-Helian(2);NPC-Kalin(1)<Speaker>格琳</Speaker>||:真是遺憾呢，又是一場失敗的聯誼會啊……
NPC-Helian(2)<Speaker>赫麗安</Speaker>;NPC-Kalin(1)||:不、不知道你在說什麼！
NPC-Helian(3)<Speaker>赫麗安</Speaker>;NPC-Kalin(1)||<黑屏1>:指揮官，這次就到這裡了！+解、解散！
