()||<BIN>8</BIN><BGM>BGM_War</BGM>:…………+……
NPC-Helian(0)<Speaker>赫麗安</Speaker><通讯框>||<黑屏1>:指揮官，你已經在飛機上了嗎？+告訴你一個好消息，前線已經偵查到一個較強的求救信號，我們估計應該是AR小隊發送的。+相信你也不希望AR小隊再有任何損失了，所以請派遣梯隊儘快前去救援。+另外救援行動最好能快一點了，我剛剛收到克魯格先生的通訊，他向我確認了之後將有一項大規模作戰行動。+你和他都在現場，你應該比我更清楚情況。+……你知道，留給你和AR小組的時間不多了，祝你們好運。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>10</BIN><SE1>Battlefield</SE1>:我看到有大批鐵血正在朝我們的位置靠近！
RO635(5)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:反應真是夠快的！+我也偵測到一個高強度信號，信號特徵和“法官”一模一樣！
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:它一定猜不到這次又是我們吧！
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:等它來了，你可以突然跳起來嚇它“驚不驚喜！”
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:嘿嘿，好主意哦！+但是現在這個時候，光靠我們可……
NEGEV(0)<Speaker>內蓋夫</Speaker><通讯框>||:內蓋夫小隊，呼叫AR小隊！你們兩個還活著嗎？
RO635(5)<Speaker>RO635</Speaker>;NEGEV(0)||<SE2>Gunfight</SE2>:太是時候了！+AR小隊呼叫內蓋夫小隊，這裡是RO，我們就在信號位置等待救援。
RO635(5);NEGEV(0)<Speaker>內蓋夫</Speaker>||:收到收到！+下次拜託你們別跑到那麼遠，或者麻煩你們靠自己雙腿跑回來，行嗎？
RO635(5)<Speaker>RO635</Speaker>;NEGEV(0)||<SE1>Battlefield</SE1>:如果鐵血和你一樣善解人意，我會盡力滿足的！還有你不喜歡加班嗎！
RO635(5);NEGEV(0)<Speaker>內蓋夫</Speaker>||:我不喜歡再和你們扯上關係啦！下次我真該去遠點的地方工作！+……算了，你們現在情況怎麼樣？
RO635(4)<Speaker>RO635</Speaker>;NEGEV(0)||<SE2>Gunfight</SE2>:缺電缺水缺彈藥，什麼都缺。救援部隊什麼時候能到？
RO635(4);NEGEV(0)<Speaker>內蓋夫</Speaker>||:我們就是救援先遣部隊，指揮官的梯隊馬上就到。
RO635(0)<Speaker>RO635</Speaker>;NEGEV(0)||:哦對了，鐵血的高級人形“法官”也正在朝我們位置靠攏，它身上帶有重要情報！+我們希望活捉它，屆時請給予最猛烈的火力壓制，剩下的我們會想辦法。
RO635(0);NEGEV(0)<Speaker>內蓋夫</Speaker>||<SE2>Gunfight</SE2>:呿……指揮官叫我來時說任務是“營救”而不是“捕捉”啊。
RO635(2)<Speaker>RO635</Speaker>;NEGEV(0)||:世事難料嘛，內蓋夫小姐，好人做到底吧！
RO635(2);NEGEV(0)<Speaker>內蓋夫</Speaker>||<SE1>Battlefield</SE1>:好人？你確實不瞭解我呢，RO小姐……+不過我的確很樂意多參加些破壞性的活動，我們會做好準備，等你的信號。
RO635(5)<Speaker>RO635</Speaker>||:謝謝！那就開始吧！
