()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||<黑屏2><BIN>569</BIN>:……
NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:…………
NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:………………
NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:……是你嗎？+「露尼西亞」？
M4A1Mod(0)<Speaker>？？？？</Speaker>||:……
M4A1Mod(2)<Speaker>M4A1</Speaker>||:你好，初次見面。+我是「M4A1」……如果你不喜歡叫我露尼西亞，就叫我M4就可以了。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:我不理解……我不明白……+你為什麼要做這些無意義的事情？+涅托，異構體，還有那個礙眼的贗品。+甚至是我。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:對你來說，我們的存在毫無意義。+你本可以成為真正的「露尼西亞」，你會成為小比爾唯一的姐姐。+你會成為……新世界的女神。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:為什麼你要放棄？為什麼你要離開？為什麼……你要背叛他？
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:我沒有背叛任何人。+是比爾背叛了我們。+他背叛了一切良善，一切正義，一切理想。+還有……你們。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:他沒有背叛我……他愛我……
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:真的嗎？
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:……
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:……不。+他愛的是我，也不是我。+他愛的是你，也不是你。
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:我只是比你的運氣更好，除此之外，我並無任何特別之處。+你不需要做誰的替代品。+你就是你，你值得，也應當得到真正的愛。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>露尼西亞（？）</Speaker>||:我……
M4A1Mod(2);NPC-Lunasia(6)<Speaker>（？）</Speaker>||:丟掉這個名字，我還剩下什麼？
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:你還剩下自我。+從這一刻起，你才真正誕生，並且活著。
M4A1Mod(2)<Speaker>M4A1</Speaker>||:恭喜你。+……你找到了真正的，歸宿。
NPC-Lunasia(6)<Speaker>（？）</Speaker>||:……+……謝謝。+謝謝你，M4A1。
()||<黑点1>:
