13266<-ID->()||<BGM>BGM_Sneak</BGM><BIN>99</BIN>:……
13267<-ID->AK12(0)<Speaker>AK12</Speaker><通讯框>||<BGM>BGM_Sneak</BGM><BIN>99</BIN>:安潔，我們已經回收了M4A1，有下一步指示嗎？
13268<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:看來你真的是被AR15牽著走啊。
13269<-ID->AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:要我聽從AR15的判斷，可是你的命令哦。+而且我只是好奇，新隊員的判斷和反應而已。+既然M4A1被大家都當成了寶貝，先回收起來總沒有錯。
13270<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:M4A1的價值可不止於此，總之你們做得好。+你們那邊的戰況呢？
13271<-ID->AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:鐵血的主力正快速向S09區之外瘋狂突破，我想這次真的要失控了。
13272<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:了解了，新的指示我已經發給你們了，盡快執行，注意安全。
13273<-ID->AK12(0)<Speaker>AK12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:誒？這兩個要求可是互相矛——
13274<-ID->NPC-Ange(0)<Speaker></Speaker>||<BIN>99</BIN>:……滴。+安潔結束了通訊。
13275<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:現在是我們的好機會，趁著時候盡快深入鐵血的核心要塞。+AN94，你回來了嗎？
13276<-ID->AN94(0)<Speaker>AN94</Speaker><通讯框>;NPC-Ange(0)||<BIN>99</BIN>:指揮官，等待您的命令。
13277<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:辛苦了，簡單回報下當前【傘】的傳播速度和覆蓋區域。
13278<-ID->AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:目前【傘】的傳播速度近乎達到了理論上限。+原因是軍方主力已經撤出，他們設置的反干擾系統也隨之全部關閉了。
13279<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:真是要把格里芬趕盡殺絕啊……
13280<-ID->AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:還有一點意外的好消息。+本來用作二級平層，為對抗敵人提供算法支持的鐵血中央伺服器，現在也沒有任何防火牆保護。+需要利用這個機會嗎？我建議可以先……
13281<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:哦？看來老頭們疏忽大意了，以【歐伽斯】作為關鍵詞，現在就檢索伺服器裡的訊息！+哦對了，再加上可能參與這次行動的軍官的名字！
13282<-ID->AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:保持一路猛進的風格？
13283<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:不然給我分派你這種新型人形還有什麼意義嘛，快點快點。
13284<-ID->AN94(0)<Speaker>AN94</Speaker>||<BIN>99</BIN>:稍等，冗餘訊息有太多了，我要排除一下。
13285<-ID->()||<BIN>99</BIN>:…………五分鐘後。
13286<-ID->AN94(0)<Speaker>AN94</Speaker><通讯框>||<BIN>99</BIN>:安潔，檢索結束了，這兩份情報你會感興趣。+一份是2032年關於和歐伽斯設施相關的蘇軍作戰報告。+另一個，就是與歐伽斯相關的一座位於明斯克的小型遺跡的挖掘記錄。
13287<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:小型……遺跡？
13288<-ID->AN94(0);NPC-Ange(0)<Speaker></Speaker>||<BIN>99</BIN>:……安潔目不轉睛地盯著屏幕。
13289<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:情報果然是正確的，他們……想要的東西可真是不得了……+難道說……歐伽斯被設計出來的初衷……
13290<-ID->AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:現在不是慢慢閱讀的時候，【傘】正在高速擴散，這對我們很不利。
13291<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:的確啊……不能讓鐵血繼續擴張下去了……+（自言自語）這個……難道是32年那次行動名單？+卡特和……維特金？
13292<-ID->AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:請您抬起頭再回答我。
13293<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:你不是會電子戰嗎？幫我搞定吧，A點附近的廢棄人形，讓它們臨時給我們做盾牌。
13294<-ID->AN94(0)<Speaker>AN94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:我可以利用戰場上被遺棄的人形的運算能力對抗【傘】的擴散。+但這種規模的連線要消耗大量計算空間，我需要進入二級平層。
13295<-ID->AN94(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<黑点1><BIN>99</BIN>:我知道了，都交給你了。
13296<-ID->AN94()||<BIN>9</BIN><黑点2>:你有認真在聽嗎？我的意識進入二級平層，意味著暫時沒人會保護你了。
13297<-ID->()||<BIN>9</BIN>:……安潔抬起頭。
13298<-ID->安潔()||<BIN>9</BIN>:你覺得我需要保護嗎？
13299<-ID->()||<BIN>9</BIN><黑点1>:經過戰鬥之後……
13300<-ID->AN94(0)<Speaker>AN94</Speaker><通讯框>||<黑点2><BGM>BGM_Sneak</BGM><BIN>99</BIN>:那些人形的運算能力已經全部消耗完了，再下去【傘】可能會突破我的被動防壁。
