 ()||<BGM>BGM_War</BGM><BIN>4</BIN><Night><SE1>Battlefield</SE1>:……M9所在的臨時據點，對鐵血作戰開始。
M9(0)<Speaker>M9</Speaker>||<SE2>Gunfight</SE2>:偵測到鐵血頭目傀儡！M21，準備！
M21(0)<Speaker>M21</Speaker><通讯框>||:來，笑一個，鐵血的渣滓！
M1911(0)<Speaker>M1911</Speaker><通讯框>||<SE2>Gunfight</SE2>:鐵血機甲還沒反應過來，英格拉姆，趁現在！
MAC10(1)<Speaker>MAC10</Speaker><通讯框>||<SE1>Battlefield</SE1>:哈哈哈哈哈！爆炸吧，統統給我爆炸吧，你們這群混蛋！
M1928A1(0)<Speaker>M1928A1</Speaker><通讯框>||:是時候了，SuperSASS，立即攻入指揮室！+軍方也在前往指揮室，不要把機會落在他們手裡！
SuperSASS(0)<Speaker>SuperSASS</Speaker><通讯框>||<SE1>Battlefield</SE1>:收到啦，正在路上！
MAC10(1)<Speaker>MAC10</Speaker><通讯框>||<黑屏1><SE2>Gunfight</SE2>:哈哈！跑啊，SuperSASS，跑啊！
 ()||<黑屏2><SE1>Battlefield</SE1>:……鐵血梯隊開始敗退。
M21(0)<Speaker>M21</Speaker><通讯框>||<SE2>Gunfight</SE2>:一定要趕在軍方前面哦，不然就只能滅他們的口啦。
M1911(0)<Speaker>M1911</Speaker><通讯框>;M21(0)||<SE1>Battlefield</SE1>:別開那種玩笑啊，M21，對方如果是人類該怎麼辦。
M1911(0);MAC10(1)<Speaker>MAC10</Speaker><通讯框>||:哼哼，人類製造槍械不就是為了對付自己嘛。
M9(0)<Speaker>M9</Speaker><通讯框>;MAC10(1)||<SE2>Gunfight</SE2>:別聽她的，SuperSASS。+我們是可愛的民用人形，遇到人類時賣個萌就行啦！
M9(0);SuperSASS(0)<Speaker>SuperSASS</Speaker><通讯框>||:（苦笑）抱歉，我可沒受過那種訓練啊。
M21(0)<Speaker>M21</Speaker><通讯框>;SuperSASS(0)||:唉，現在的新雇員還真是輕鬆，我那時候講笑話都是要考級的。
M21(0);MAC10(1)<Speaker>MAC10</Speaker><通讯框>||<SE1>Battlefield</SE1>:哈，那你一定是搞脫口秀被刷下去了，然後才來的格里芬吧？
M1911(0)<Speaker>M1911</Speaker><通讯框>;MAC10(1)||:不能隨便詢問同伴的出身哦，英格拉姆。+我們現在都是格里芬的成員，這才是最重要的。
M1911(0);SuperSASS(0)<通讯框><Speaker>SuperSASS</Speaker>||<黑屏1>:SuperSASS已佔領指揮室，重複一遍，SuperSASS已佔領指揮室！
M21(0)<Speaker>M21</Speaker><通讯框>||<黑屏2><BGM>BGM_Sunshine</BGM><BIN>4</BIN>:天亮了，我們也勝利啦。
M1928A1(0)<Speaker>M1928A1</Speaker><通讯框>||:1911，向赫麗安多要點分紅，這次可累壞我了。
M1911(0)<Speaker>M1911</Speaker><通讯框>||:等等吧，我還要給指揮官獻上勝利之吻呢。
M21(0)<Speaker>M21</Speaker><通讯框>||:這回的作戰，果然還是1911贏了吧？
M1911(0)<Speaker>M1911</Speaker><通讯框>||:沒有那樣的作戰吧？+說起來M9呢？好像已經下線了？+M9？M9在嗎？
MAC10(1)<Speaker>MAC10</Speaker><通讯框>||:你遲了呢，1911，M9已經往指揮室趕了。
M1928A1(0)<Speaker>M1928A1</Speaker><通讯框>||<黑屏1>:哈哈，善良的農夫啊，你真不該救她呢。
M1911()<Speaker>M1911</Speaker>||<黑屏2><BIN>9</BIN>:…………+格里芬的成員……還需要好好培養啊……
