()||<SE2>Alarm</SE2><BIN>10</BIN>:…………五分鐘後，鐵血警報響起。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:警報響了，那傢伙要來真的了！
M16(3)<Speaker>M16A1</Speaker>||:冷靜點，它們不會馬上到達這裡。+RO，能估算出鐵血會有多少兵力嗎？
RO635(0)<Speaker>RO635</Speaker>||:…………+這個區域裡的鐵血……我想不是個小數目。+但是，我不認為以計量官的指揮效率，能一口氣調動那麼多部隊。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:這是什麼意思？不會有太多敵人一起過來嗎？
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:還有一種可能……
RO635(3)<Speaker>RO635</Speaker>||:……就是這片區域內的頭目不只有一個。
M16(3)<Speaker>M16A1</Speaker>||:喂喂，你說可能有兩個頭目？+快告訴我，你是瞎猜的。
RO635(0)<Speaker>RO635</Speaker>||:的確只是個猜測，但我們不能慌了手腳到處亂撞。+趁鐵血還沒包圍過來，我們先尋找後方的突破點。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<SE1>Battlefield</SE1>:M1887怎麼辦？我們還沒找到她……
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:我們在前面沒有遇到她，那麼她一定在區域的更深處。+只能繼續前進，然後撞大運能碰到她們了。+畢竟……保護我們自身的安全才是第一點。
M16(3)<Speaker>M16A1</Speaker>||:…………+我明白，RO，現在就指揮大家前進吧。
