()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:
()||:……忤逆小隊最終放棄尋找救援小隊留下的記號，但撤退行動仍在繼續。
AN94(3)<Speaker>AN94</Speaker>||:這裡的污染指數大幅降低，雖然無法完全脫險，但是暫時不會對安潔莉婭形成致命威脅。
AK12(4)<Speaker>AK12</Speaker>||:祝賀你，安潔，你可以多活一會兒了。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:我的感覺沒好到哪兒去，但是既然你們這麼說了……
AN94(0)<Speaker>AN94</Speaker>||:找不到救援小隊的記號，我們現在只能繼續往污染更低的方向前進了。
AK12(0)<Speaker>AK12</Speaker>||:或者儘快找個機會，放出求救信號讓救援小隊聯繫到我們。
AN94(0)<Speaker>AN94</Speaker>||:現在放出信號太危險了，周圍到處都是軍方的部隊。+還有那些有點風吹草動就會現身的感染者，如果支援不及時，光靠我們兩個人形恐怕會很困難。
AK12(0)<Speaker>AK12</Speaker>||:（歎氣）你總是太保守了，AN94。
AN94(0)<Speaker>AN94</Speaker>||:在不知道另一個終點有什麼時，我傾向於當前的選擇。
AK12(0)<Speaker>AK12</Speaker>||:選擇不在於你，安潔，輪到你選了。
NPC-AngeDamage(2)<Speaker>安潔莉婭</Speaker>||:我……讓我想想……
AN94(2)<Speaker>AN94</Speaker>||<SE1>Reload</SE1><BGM>BGM_Empty</BGM>:等等，有聲音！
AK12(2)<Speaker>AK12</Speaker>||<BGM>BGM_Danger</BGM><SE1>Gunfight</SE1><SE2>MachineGunBurst</SE2>:是軍方的人形！沖我們來的！
AN94(2)<Speaker>AN94</Speaker>||<黑屏1><SE1>RunStep</SE1>:前面有一條棄用的防線，帶著安潔先躲進去！
()||<闪屏><duration>5</duration></闪屏>:
()||<BIN>9</BIN><SE1>Explode</SE1><SE2>Gunfight</SE2>:……轟！轟！
AK12(2)<Speaker>AK12</Speaker>||<黑屏1>:安潔，快點！我們到了！
()||<BIN>157</BIN><黑屏2>:……在軍方的轟擊下，忤逆小隊倉皇躲進了掩體。
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||:哈……哈……該死！+看來我們沒選擇了，AN94，快發射信號彈！
AN94(2)<Speaker>AN94</Speaker>||:收到！
AK12(2)<Speaker>AK12</Speaker>||:為什麼會這麼快！我們根本沒留下什麼痕跡才對！
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||:這是有組織的……和之前不一樣！
()||:<color=#00CCFF>……呲，呲。</color>
()<Speaker>？？</Speaker>||:<color=#00CCFF>安潔莉婭……</color>+<color=#00CCFF>你果然沒讓我失望。</color>
()||<SE2>Gunfight</SE2>:……槍聲和干擾噪音的波折下，一個男人的聲音漸漸清晰地浮現在通訊器的公共頻道中。
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker><通讯框>||:<color=#00CCFF>你從那場爆炸中活了下來，只為了給我一個能親手殺掉你的機會。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-YegorDamage(0)||:葉戈爾……+看你的樣子，也好不到哪去嘛……
NPC-AngeDamage(0);NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>||:<color=#00CCFF>我的心情很好，沒想到我剛剛在這裡完成部署，你就出現了。</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-YegorDamage(0)||:這一切，是你算好的？
NPC-AngeDamage(0);NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>||:<color=#00CCFF>通往綠區的路線沒有多少，如果你活著，就一定會出現在這裡。</color>+<color=#00CCFF>你體內的感染撐不了多久，要放棄抵抗嗎？</color>
NPC-AngeDamage(0)<Speaker>安潔莉婭</Speaker>;NPC-YegorDamage(0)||:你會放棄為你的喪屍戰友哀悼嗎？
NPC-YegorDamage(0)<Speaker>葉戈爾</Speaker>||:<color=#00CCFF>很好，我會確保你不會死在炮火中。</color>+<color=#00CCFF>這樣我就能親手揪出你，為我的部下報仇！</color>
()||:……安潔關閉了通訊。
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker>||:他要調用坦克了！撐到救援小隊過來！
AK12(2)<Speaker>AK12</Speaker>||:你確定她們會過來嗎？
NPC-AngeDamage(3)<Speaker>安潔莉婭</Speaker><Shake>||<黑屏1>:那我們就只能去死了！快點，咳咳！+利用一切能利用的東西，守住防線！
()||<黑点2><BIN>10</BIN>:
