()||<BGM>BGM_Boss</BGM><BIN>15</BIN>:……格里芬一處廢棄指揮室，鐵血破壞者最後的藏身地。
BOSS-6(0)<Speaker>破壞者</Speaker>||:……聽到了嗎，夢想家！格里芬比預想得快了好多！
BOSS-11(0)<Speaker>夢想家</Speaker><通讯框>||:……+哎呀……你在那邊吵什麼呢？
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:快點，啟動你的火力阻擋她們！
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:……誒？為什麼要這麼做啊？
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:不是說好了嗎！我完成任務，你會用空中支援掩護我撤退的！
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:哦……+那麼……你的任務完成了嗎？
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:針對克魯格的刺殺是失敗了，不過也是預料中的結果。+重要的是，鐵血植入AR-15的程式生效了，我在她的心智雲圖中發現了涉及3號安全屋的資料。+【傘】計畫的資料已經湊齊了，快點幫我離開這裡！
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:可是……既然任務已經完成了，那你還有什麼價值了呢？
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:什麼……
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:我說啊……我們是人形吧？+所謂人形，就是用完就扔的消耗品吧？+好像沒必要為了回收垃圾，再浪費更多我的寶貝呢。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:你……你怎麼可以這樣！
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:反正就算死掉了，很快又能活過來的嘛。+而且關於我的記憶，你也會通通忘掉。+然後，你會再次像小狗一樣乖乖聽我的命令哦。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:怎麼……可能……我才不會……再次相信你！
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:真的嗎，我親愛的小蠢貨？+你以為現在的事情……是第一次發生嗎？
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:……！！+你這個混蛋！瘋子！小矮個兒！+明明……明明說好，會來救我的……
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:好啦，別哭了，只是個玩笑而已嘛。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:玩……笑……？真的？
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:代理人怕我亂來，把接受資料的密鑰裝在了你身上。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:唔……是代理人……為我做的……
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||:我已經開始料理AR小組了，你還有十分鐘時間離開這裡哦。
BOSS-6(0)<Speaker>破壞者</Speaker>;BOSS-11(0)||:是、是嗎……
BOSS-6(0);BOSS-11(0)<Speaker>夢想家</Speaker>||<黑屏1>:沒錯，至少這次是這樣的……
夢想家()<Speaker>夢想家</Speaker>||<黑屏2><BGM>BGM_Empty</BGM><BIN>9</BIN>:不過下次再被人竊聽到，就真的把你丟掉哦。
破壞者()<Speaker>破壞者</Speaker>||:竊……竊聽？+？！……是誰？！什麼時候？！
AR15()<Speaker>AR15</Speaker>||<黑屏1>:……
AR15(0)<Speaker>AR15</Speaker>||<BIN>3</BIN><黑屏2>:哼……+你是什麼時候發現我的，夢想家。
BOSS-11(0)<Speaker>夢想家</Speaker><通讯框>||:掌握天空的人就擁有一切，我現在連地上的一隻小貓都看得清呢。
AR15(0)<Speaker>AR15</Speaker>||:怪不得……看來僅僅關閉通訊，還不夠呢。
BOSS-11(0)<Speaker>夢想家</Speaker>;AR15(0)||<BGM>BGM_Sad</BGM>:你一直在等這個機會吧，讓格里芬關閉你的通訊模組，然後神不知鬼不覺地入侵我們。
BOSS-11(0);AR15(0)<Speaker>AR15</Speaker>||:……看來，你也不像傳聞中那麼瘋呢。
