()||<BIN>18</BIN><BGM>BGM_Sneak</BGM>:……撤退到安全區域。
IDW(0)<Speaker>IDW</Speaker>||:啊，是上回幫了大忙的人形！+我們又見面啦！
M4A1(0)<Speaker>M4A1</Speaker>;IDW(0)||:抱歉，我們來遲了，其他人形呢？
M4A1(0);IDW(0)<Speaker>IDW</Speaker>||:大家都沒事的，你們是最後一支梯隊啦。+這樣一來，大家都順利撤回了呢。
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:這裡還有傷患嗎？我們也來幫忙吧。
M16(0);IDW(0)<Speaker>IDW</Speaker>||:好呀，M82不知道跑到哪兒去了，光靠我一個還是太勉強了呢。+真是太感謝你們啦！
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:還好啦，大家傷亡都不太大，工作不會很麻煩。
M16(0);IDW(0)<Speaker>IDW</Speaker>||:是呢，還好第一擊只是試探，不過突然出現真是嚇死了。
M16(0)<Speaker>M16A1</Speaker>;IDW(0)||:那麼……關於剛才鐵血的那個武器，你們有什麼線索嗎？
M16(0);IDW(0)<Speaker>IDW</Speaker>||:唔……太快了，完全沒看清。+但是從地面的痕跡看，被打到一定完蛋了吧？
M16(0);M4A1(2)<Speaker>M4A1</Speaker>||:……
SOPII(2)<Speaker>M4 SOPMOD II</Speaker>;M4A1(2)||:M4，怎麼了？
SOPII(2);M4A1(2)<Speaker>M4A1</Speaker>||<黑屏1>:沒什麼……+……只是有點後怕。+鐵血……到底還有多少秘密呢？
