SOPIIDamage(2)<Speaker>SOPII</Speaker>||:啊……又找不到合適的零件替換了！
AR15(1)<Speaker>AR15</Speaker>||:你還好嗎？受損處有影響到行動能力嗎？
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:沒事！我還可以再打五十個回合！
M4A1(1)<Speaker>M4A1</Speaker>||:……對不起。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:你在亂道歉什麼啦？又不是你炸的我。
AR15(1)<Speaker>AR15</Speaker>||:……
M4A1(1)<Speaker>M4A1</Speaker>||:如果我剛剛向帕斯卡小姐提出實驗終止請求……+或許我們現在已經在修理槽裡躺著了……+因為我的固執，又要勉強你們跟我配合了。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:修理槽哪有這裡有意思啊！稍微動一下零件，那些人形就要尖聲驚叫！
AR15(1)<Speaker>AR15</Speaker>||:你是隊長，我們理應執行你的指令。+這一點不管什麼時間，什麼地點，都不會改變。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:就算你跑到天上去了，我們也會跟著找到你，拿到你的指令！
M4A1(1)<Speaker>M4A1</Speaker>||:我……
AR15(1)<Speaker>AR15</Speaker>||:而且，能給M16一點顏色看看我也求之不得。+既然話都放出去了，就絕對不能失敗了。
SOPIIDamage(0)<Speaker>SOPII</Speaker>||:沒錯！我已經恨不得立刻去吃垮16了！
M4A1(1)<Speaker>M4A1</Speaker>||:……嗯！
AR15(1)<Speaker>AR15</Speaker>||:我剛剛又復盤了一次「蝰蛇」行動的方案，其實那次有一些地方，我們可以做得更好。
M4A1(1)<Speaker>M4A1</Speaker>||:那我們來整理一下方案吧。
