()||<BIN>22</BIN><BGM>BGM_Room</BGM>:…………同一時間，格里芬總部的工廠部。
NPC-Helian(0)<Speaker>赫麗安</Speaker>||:克魯格先生，我們的大型運輸機已經完成了炮台的回收工作。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:很好，意外收獲總是讓人心情舒暢。
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:（笑）這和您之前的工作有關嗎？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:不能完全否認。+而且，沒有幾個承包商能掌握到軍方的技術動向。
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:另外，指揮官還在前線，要現在就下撤離命令嗎？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:先不用。+如果這位指揮官還能撐得住，就讓行動繼續。+撤離之後，根據作戰表現頒發獎勵。
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:您想……測試這位指揮官的極限？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||<BGM>BGM_Empty</BGM>:不是測試，而是挖掘。+總有一天，我們會用到的。+赫麗安，關於404的事情，目擊者的相關雲圖都清理過了嗎？
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:是的，除了M16A1，還是殘留一些……
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:我知道，那是404之前的事情，這無關緊要。+給她們放假吧，她們需要這個。+也許，我們都需要這個。
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||<BGM>BGM_Sunshine</BGM>:等指揮官回來之後，也許我們該開個宴會……+最好是……溫暖一點的東西。+為了迎接冬天、完美的勝利、甚至節日還有一切美好的東西……+……給指揮官，還有人形們，大家這次太辛苦了。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:這沒問題，你來安排吧。
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:也有你的份，克魯格先生，準備點不那麼生硬的祝福語吧。
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:這可是個大難題。+我不確定那名指揮官回來之前，我能不能搞定這件事。
NPC-Kyruger(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:放心，指揮官會堅持很久的。+要不要打個賭？看誰先完成工作？
NPC-Kyruger(0)<Speaker>克魯格</Speaker>;NPC-Helian(0)||:那就讓我們拭目以待吧……
()||<黑屏1>:【提示】繼續堅守鐵血攻勢以領取更多獎勵。
