14124<-ID->()||<BIN>7</BIN><Night><黑点2><BGM>BGM_Sneak</BGM>:……
14125<-ID->UMP45(0)<Speaker>||<BIN>7</BIN><Night>:諸位，休息好了嗎？該幹活了哦。
14126<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:看你的表情感覺不是什麼好事……所以，要去哪？
14127<-ID->HK416(0);UMP45(0)<Speaker>||<BIN>7</BIN><Night>:叫醒G11吧，我們的雇主拋來了個大麻煩，你想不到有多糟糕呢。
14128<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:不會比你在這裡更糟……+喂，G11！起來了！
14129<-ID->G11(3)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:唔啊……搞什麼啊……+才睡了五分鐘……
14130<-ID->UMP45(0)<Speaker>||<BIN>7</BIN><Night>:9，找一找附近有什麼能接入鐵血網絡的地方。
14131<-ID->UMP9(0)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:讓我看看……唔，這附近有一個鐵血的中繼站，周邊有鐵血的人形看守，應該能用。
14132<-ID->UMP9(0);UMP45(0)<Speaker>||<BIN>7</BIN><Night>:好，第一個目標是奪下它，準備好了嗎？
14133<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:G11，快給我爬起來！
14134<-ID->UMP45(0)<Speaker>||<BIN>7</BIN><Night><黑屏1>:那就是準備好了，我們走。
14135<-ID->()||<BIN>34</BIN><黑屏2>:……404小隊奪下了中繼站
14136<-ID->UMP9(3)<Speaker>||<BIN>34</BIN>:45姐，可以開始行動啦。
14137<-ID->UMP9(3);UMP45(0)<Speaker>||<BIN>34</BIN>:嗯，我現在開始連接。+你們注意警戒周邊就行。
14138<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>34</BIN>:45……你是想入侵鐵血的網絡？+別忘了，現在傘病毒正在這片區域蔓延。
14139<-ID->HK416(0);UMP45(0)<Speaker>||<BIN>34</BIN>:我可不是那種輕易就被改寫的人形。
14140<-ID->UMP9(3)<Speaker>;UMP45(0)||<BIN>34</BIN>:沒錯，正是在這種時候，才能發揮45姐的厲害之處哦。
14141<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>34</BIN>:哼……+萬一你算漏了呢？
14142<-ID->HK416(0);UMP45(0)<Speaker>||<BIN>34</BIN>:那你可以如願以償，親自對我下手了。
14143<-ID->HK416(0)<Speaker>;UMP45(0)||<BIN>34</BIN>:……我很期待。
14144<-ID->UMP45(0)<Speaker>||<BIN>34</BIN><黑点1>:前方的偵察暫且交給你們，我現在要專心尋寶了。
14145<-ID->()||<BIN>34</BIN><黑点2>:……3分鐘後。
14146<-ID->G11(2)<Speaker>||<BIN>34</BIN>:會早點回去嗎，這種地方呆久了可不好啊……
14147<-ID->UMP9(4)<Speaker>||<BIN>34</BIN>:能看到目標地點了！+等等……大家先稍等一下……+前面的那些人形，看起來不太妙啊……
14148<-ID->HK416(0)<Speaker>||<BIN>34</BIN>:嘖，軍方人形。+……那些傢伙，應該是被傘病毒控制了。+不過把守的這麼嚴密，看來我們的確是找對了地方。
14149<-ID->G11(2)<Speaker>;HK416(0)||<BIN>34</BIN>:很不妙啊，我們該怎麼辦？
14150<-ID->G11(2);HK416(0)<Speaker>||<BIN>34</BIN>:那可是人格中的善良含量絕不多於5%的UMP45。+你期待她會說“為了大家的安全，我們放棄任務吧”這種話嗎？
14151<-ID->G11(3)<Speaker>;HK416(0)||<BIN>34</BIN>:什、什麼？+我們要和那些鐵疙瘩打嗎……
14152<-ID->G11(3);UMP45(0)<Speaker>||<BIN>34</BIN>:沒錯哦，G11。
14153<-ID->G11(3)<Speaker>;UMP45(0)||<BIN>34</BIN>:誒——？！！
14154<-ID->G11(3);UMP45(0)<Speaker>||<BIN>34</BIN>:我定位到鐵血的大訊息庫了，現在出發吧。
14155<-ID->G11(3)<Speaker>;UMP45(0)||<BIN>34</BIN>:嗚……不要啦……+看上去就好可怕，我能留在這裡睡覺嗎……
14156<-ID->G11(3);UMP45(0)<Speaker>||<BIN>34</BIN>:留你一個人在這裡也不是不可以，畢竟嘛……誘餌戰術也不錯。
14157<-ID->G11(3)<Speaker>;UMP45(0)||<BIN>34</BIN>:嗚……
14158<-ID->UMP45(0)||<BIN>34</BIN><黑屏1>:不喜歡的話，就拿出你最好的狀態吧，G11。+不然這一次，可能真的會死掉的。
