14213<-ID->()||<BIN>34</BIN><SE2>Gunfight</SE2><BGM>BGM_Danger</BGM>:……404小隊作戰中。
14214<-ID->HK416(0)<Speaker>||<BIN>34</BIN>:援軍還沒來嗎？+我們再退的話，就得拿鐵血的訊息庫當掩體了。
14215<-ID->UMP9(0)<Speaker>;HK416(0)||<BIN>34</BIN>:說不定是個好主意呢。+它們應該不會攻擊自己的主伺服器吧？
14216<-ID->UMP9(0);HK416(0)<Speaker>||<BIN>34</BIN>:喂，你認真的嗎？+就算單純地被圍在這裡，我們被幹掉也只是時間問題啊！
14217<-ID->UMP45(0)<Speaker>;HK416(0)||<黑点1><BIN>34</BIN>:計量官已經追著M4和我偽造的訊號離開了。+再堅持一會兒……很快我們就能開始反擊。
14218<-ID->()||<BIN>34</BIN><黑点2>:……數分鐘後。
14219<-ID->UMP9(2)||<BIN>34</BIN>:45姐，它們的攻勢好像減弱了……+咦，它們停下來了？！
14220<-ID->UMP45(0)<Speaker>||<BIN>34</BIN>:看來計策奏效了。+現在計量官應該在專心對付M4。
14221<-ID->G11(3)<Speaker>||<BIN>34</BIN>:唔，那是不是可以睡會兒了？+我們已經連續打了七八個小時了吧……要累死了……
14222<-ID->()||<BIN>34</BIN>:……2分鐘後。
14223<-ID->UMP9(0)<Speaker>||<BIN>34</BIN>:圍住我們的鐵血人形有一部分撤退了。+不過還是留下來了一些……似乎它們要繼續行動了。
14224<-ID->UMP9(0);UMP45(0)<Speaker>||<BIN>34</BIN>:果然沒那麼容易放過我們嗎……+計量官……真是相當謹慎吶。
14225<-ID->UMP9(0)<Speaker>;UMP45(0)||<BIN>34</BIN>:我們現在要怎麼辦？
14226<-ID->UMP9(0);UMP45(0)<Speaker>||<BIN>34</BIN>:消滅包圍我們的敵人。+然後，截斷計量官的後路。
14227<-ID->G11(2)<Speaker>;UMP45(0)||<BIN>34</BIN>:什麼啊……還要繼續？
14228<-ID->G11(2);UMP45(0)<Speaker>||<BIN>34</BIN><黑点1>:再努力一次吧，G11。+順利的話，你很快就能睡個好覺了。
14229<-ID->UMP9(3)<Speaker>||<BIN>7</BIN><Night><黑点2>:這片區域的敵人已經全部搞定啦！
14230<-ID->UMP9(3);UMP45(0)<Speaker>||<BIN>7</BIN><Night>:好，趁現在我們快點追上計量官吧。
14231<-ID->G11(3)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:怎麼還要行動啊……+說好的只要再努力一次呢？
14232<-ID->G11(3);UMP45(0)<Speaker>||<BIN>7</BIN><Night>:接下來的行動也算在這“一次”的範圍裡哦。
14233<-ID->G11(3)<Speaker>;UMP45(0)||<BIN>7</BIN><Night>:啊……45好狡猾啊……
14234<-ID->G11(3);HK416(0)<Speaker>||<BIN>7</BIN><Night>:早就告訴你，這傢伙說的話一句都不能信。
14235<-ID->G11(3)<Speaker>;HK416(0)||<BIN>7</BIN><Night>:唉……可是……+416……我實在跑不動了……
14236<-ID->G11(3);HK416(0)<Speaker>||<BIN>7</BIN><Night>:別看著我，不會抱著你跑的。+這附近到處都是軍方的人形，不知道什麼時候又會醒。+不想被扔在怪物堆裡的話，就自己加油吧。
14237<-ID->G11(3)<Speaker>;HK416(0)||<BIN>7</BIN><Night><黑屏1>:唉？！我可不要呆在怪物堆裡……+416……你們等等我啊！
14238<-ID->BOSS-7(0)<Speaker>計量官</Speaker>||<BIN>7</BIN><Night><黑屏2>:將軍。+你的可悲結局願意挑選一個在角落裡實在超乎我的意料。+M4A1，很高興我們之間終於不用繼續糾纏彼此了。
